

  TLevel   Time         dt      Iter  ItCum
   152  .21725E+03  .61670E-01    2    323
   153  .21734E+03  .82225E-01    2    325
   154  .21742E+03  .82222E-01    2    327
   155  .21750E+03  .82214E-01    2    329
   156  .21763E+03  .13359E+00    2    331
   157  .21781E+03  .17366E+00    2    333
   158  .21803E+03  .22622E+00    2    335
   159  .21833E+03  .29253E+00    2    337
   160  .21870E+03  .37895E+00    3    340
   161  .21920E+03  .49379E+00    3    343
   162  .21983E+03  .63205E+00    3    346
   163  .22067E+03  .84273E+00    3    349
   164  .22178E+03  .11020E+01    3    352
   165  .22324E+03  .14694E+01    3    355
   166  .22520E+03  .19592E+01    4    359
   167  .22716E+03  .19592E+01    4    363
   168  .22912E+03  .19592E+01    4    367
   169  .23108E+03  .19592E+01    4    371
   170  .23304E+03  .19592E+01    4    375
   171  .23500E+03  .19592E+01    3    378
   172  .23743E+03  .24286E+01    4    382
   173  .23986E+03  .24286E+01    4    386
   174  .24229E+03  .24286E+01    4    390
   175  .24471E+03  .24286E+01    4    394
   176  .24714E+03  .24286E+01    4    398
   177  .24957E+03  .24286E+01    4    402
   178  .25200E+03  .24286E+01    4    406
   179  .25443E+03  .24286E+01    4    410
   180  .25686E+03  .24286E+01    4    414
   181  .25929E+03  .24286E+01    4    418
   182  .26171E+03  .24286E+01    4    422
   183  .26414E+03  .24286E+01    4    426
   184  .26657E+03  .24286E+01    4    430
   185  .26900E+03  .24286E+01    4    434
   186  .27133E+03  .23333E+01    4    438
   187  .27367E+03  .23333E+01    4    442
   188  .27600E+03  .23333E+01    4    446
   189  .27833E+03  .23333E+01    4    450
   190  .28067E+03  .23333E+01    4    454
   191  .28300E+03  .23333E+01    4    458
   192  .28533E+03  .23333E+01    4    462
   193  .28767E+03  .23333E+01    4    466
   194  .29000E+03  .23333E+01    4    470
   195  .29233E+03  .23333E+01    4    474
   196  .29467E+03  .23333E+01    4    478
   197  .29700E+03  .23333E+01    4    482
   198  .30000E+03  .30000E+01    4    486
   199  .30260E+03  .26000E+01    4    490
   200  .30520E+03  .26000E+01    4    494
   201  .30780E+03  .26000E+01    4    498
   202  .31040E+03  .26000E+01    4    502
   203  .31300E+03  .26000E+01    4    506
   204  .31532E+03  .23182E+01    3    509
   205  .31863E+03  .33117E+01    4    513
   206  .32194E+03  .33117E+01    4    517
   207  .32525E+03  .33117E+01    4    521
   208  .32856E+03  .33117E+01    4    525
   209  .33188E+03  .33117E+01    4    529
   210  .33519E+03  .33117E+01    4    533
   211  .33850E+03  .33117E+01    4    537
   212  .33900E+03  .50000E+00    2    539
   213  .33900E+03  .20000E-02    3    542
   214  .33900E+03  .26007E-02    3    545
   215  .33901E+03  .33832E-02    3    548
   216  .33901E+03  .43882E-02    3    551
   217  .33902E+03  .57216E-02    3    554
   218  .33903E+03  .74095E-02    3    557
   219  .33904E+03  .96372E-02    3    560
   220  .33905E+03  .12520E-01    4    564
   221  .33906E+03  .12520E-01    3    567
   222  .33908E+03  .16362E-01    4    571
   223  .33909E+03  .16362E-01    3    574
   224  .33911E+03  .21320E-01    4    578
   225  .33914E+03  .21320E-01    3    581
   226  .33916E+03  .27846E-01    4    585
   227  .33919E+03  .27846E-01    4    589
   228  .33922E+03  .27846E-01    3    592
   229  .33925E+03  .35582E-01    4    596
   230  .33929E+03  .35582E-01    3    599
   231  .33934E+03  .46530E-01    4    603
   232  .33938E+03  .46530E-01    4    607
   233  .33943E+03  .46529E-01    3    610
   234  .33949E+03  .59453E-01    4    614
   235  .33955E+03  .59454E-01    4    618
   236  .33961E+03  .59454E-01    3    621
   237  .33969E+03  .81074E-01    4    625
   238  .33977E+03  .81073E-01    4    629
   239  .33985E+03  .81072E-01    4    633
   240  .33993E+03  .81070E-01    3    636
   241  .34003E+03  .94584E-01    4    640
   242  .34012E+03  .94586E-01    3    643
   243  .34025E+03  .12612E+00    4    647
   244  .34037E+03  .12611E+00    4    651
   245  .34050E+03  .12610E+00    4    655
   246  .34063E+03  .13253E+00    4    659
   247  .34077E+03  .13253E+00    4    663
   248  .34090E+03  .13253E+00    4    667
   249  .34103E+03  .13253E+00    4    671
   250  .34116E+03  .13253E+00    4    675
   251  .34130E+03  .13253E+00    4    679
   252  .34143E+03  .13253E+00    4    683
   253  .34156E+03  .13253E+00    4    687
   254  .34169E+03  .13253E+00    4    691
   255  .34183E+03  .13253E+00    4    695
   256  .34196E+03  .13253E+00    4    699
   257  .34209E+03  .13253E+00    4    703
   258  .34222E+03  .13253E+00    4    707
   259  .34236E+03  .13253E+00    4    711
   260  .34249E+03  .13253E+00    4    715
   261  .34262E+03  .13253E+00    4    719
   262  .34275E+03  .13253E+00    4    723
   263  .34289E+03  .13253E+00    4    727
   264  .34302E+03  .13253E+00    4    731
   265  .34315E+03  .13253E+00    4    735
   266  .34328E+03  .13253E+00    4    739
   267  .34342E+03  .13253E+00    4    743
   268  .34355E+03  .13253E+00    3    746
   269  .34372E+03  .17286E+00    4    750
   270  .34389E+03  .17286E+00    4    754
   271  .34407E+03  .17286E+00    4    758
   272  .34424E+03  .17286E+00    4    762
   273  .34441E+03  .17286E+00    4    766
   274  .34459E+03  .17286E+00    4    770
   275  .34476E+03  .17286E+00    4    774
   276  .34493E+03  .17286E+00    4    778
   277  .34510E+03  .17286E+00    4    782
