


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
     57.500    -32.207   .3668   20.000      -50.149   .3604   20.000      -50.053   .3605   20.000
     61.000    -33.190   .3665   20.000      -51.121   .3599   20.000      -51.030   .3600   20.000
     66.000    -34.429   .3662   20.000      -52.347   .3593   20.000      -52.262   .3594   20.000
     69.400    -35.218   .3660   20.000      -53.127   .3590   20.000      -53.046   .3590   20.000
     72.800    -35.935   .3658   20.000      -53.836   .3586   20.000      -53.758   .3587   20.000
     73.000    -35.982   .3658   20.000      -53.881   .3586   20.000      -53.803   .3586   20.000
     73.002    -35.982   .3658   20.000      -53.923   .3586   20.000      -53.805   .3586   20.000
     73.005    -35.983   .3658   20.000      -53.990   .3585   20.000      -53.810   .3586   20.000
     73.008    -35.983   .3658   20.000      -54.060   .3585   20.000      -53.820   .3586   20.000
     73.012    -35.984   .3658   20.000      -54.128   .3585   20.000      -53.837   .3586   20.000
     73.018    -35.986   .3658   20.000      -54.190   .3584   20.000      -53.860   .3586   20.000
     73.025    -35.987   .3658   20.000      -54.246   .3584   20.000      -53.888   .3586   20.000
     73.035    -35.989   .3658   20.000      -54.298   .3584   20.000      -53.920   .3586   20.000
     73.048    -35.992   .3658   20.000      -54.348   .3584   20.000      -53.954   .3586   20.000
     73.065    -35.996   .3658   20.000      -54.396   .3583   20.000      -53.992   .3585   20.000
     73.087    -36.003   .3658   20.000      -54.445   .3583   20.000      -54.035   .3585   20.000
     73.115    -36.013   .3658   20.000      -54.496   .3583   20.000      -54.082   .3585   20.000
     73.158    -36.033   .3658   20.000      -54.561   .3583   20.000      -54.145   .3585   20.000
     73.200    -36.057   .3657   20.000      -54.620   .3582   20.000      -54.204   .3584   20.000
     73.247    -36.088   .3657   20.000      -54.683   .3582   20.000      -54.266   .3584   20.000
     73.310    -36.134   .3657   20.000      -54.763   .3582   20.000      -54.346   .3584   20.000
     73.386    -36.196   .3657   20.000      -54.857   .3581   20.000      -54.439   .3583   20.000
     73.489    -36.286   .3657   20.000      -54.976   .3581   20.000      -54.559   .3583   20.000
     73.617    -36.406   .3657   20.000      -55.121   .3580   20.000      -54.703   .3582   20.000
     73.808    -36.593   .3656   20.000      -55.330   .3579   20.000      -54.913   .3581   20.000
     74.000    -36.782   .3656   20.000      -55.534   .3578   20.000      -55.117   .3580   20.000
     74.222    -37.005   .3655   20.000      -55.766   .3577   20.000      -55.349   .3579   20.000
     74.519    -37.304   .3654   20.000      -56.071   .3575   20.000      -55.654   .3577   20.000
     74.889    -37.675   .3653   20.000      -56.446   .3573   20.000      -56.028   .3575   20.000
     75.444    -38.219   .3651   20.000      -56.993   .3571   20.000      -56.575   .3573   20.000
     76.000    -38.756   .3649   20.000      -57.532   .3568   20.000      -57.114   .3570   20.000
     76.640    -39.363   .3647   20.000      -58.139   .3565   20.000      -57.720   .3567   20.000
     77.493    -40.146   .3644   20.000      -58.921   .3561   20.000      -58.502   .3563   20.000
     78.609    -41.137   .3640   20.000      -59.911   .3556   20.000      -59.492   .3558   20.000
     80.097    -42.400   .3636   20.000      -61.175   .3549   20.000      -60.755   .3551   20.000
     82.081    -43.956   .3630   20.000      -62.734   .3539   20.000      -62.314   .3542   20.000
     84.561    -45.773   .3623   20.000      -64.560   .3528   20.000      -64.140   .3530   20.000
     88.280    -48.273   .3613   20.000      -67.076   .3512   20.000      -66.655   .3514   20.000
     92.000    -50.592   .3602   20.000      -69.406   .3497   20.000      -68.984   .3500   20.000
     96.000    -52.915   .3591   20.000      -71.731   .3483   20.000      -71.309   .3485   20.000
    100.000    -55.057   .3580   20.000      -73.871   .3469   20.000      -73.448   .3472   20.000
    105.000    -57.499   .3568   20.000      -76.312   .3453   20.000      -75.890   .3457   20.000
    110.000    -59.732   .3557   20.000      -78.548   .3437   20.000      -78.128   .3440   20.000
    112.500    -60.796   .3551   20.000      -79.615   .3429   20.000      -79.197   .3432   20.000
    115.000    -61.829   .3544   20.000      -80.644   .3421   20.000      -80.228   .3424   20.000
    120.000    -63.812   .3532   20.000      -82.617   .3407   20.000      -82.204   .3410   20.000
    125.000    -65.655   .3521   20.000      -84.452   .3393   20.000      -84.042   .3396   20.000
    130.000    -67.397   .3510   20.000      -86.183   .3380   20.000      -85.778   .3383   20.000
    135.000    -69.064   .3499   20.000      -87.842   .3368   20.000      -87.441   .3371   20.000
    140.000    -70.635   .3490   20.000      -89.407   .3357   20.000      -89.008   .3359   20.000
