


                               Node( 53)                                           Node(107)                                           Node(136)                                           Node(278)                                           Node(408)                                           Node(593)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .003     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .676E-14   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .181E-26   .000E+00
       .004     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .136E-13   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .395E-26   .000E+00
       .004     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .255E-13   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .809E-26   .000E+00
       .004     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .452E-13   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .157E-25   .000E+00
       .004     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .761E-13   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .292E-25   .000E+00
       .005     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .124E-12   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .522E-25   .000E+00
       .005     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .199E-12   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .902E-25   .000E+00
       .005     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .364E-12   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .176E-24   .000E+00
       .006     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .655E-12   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .329E-24   .000E+00
       .006     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .116E-11   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .591E-24   .000E+00
       .007     -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .200E-11   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.502   .2116   20.000   .101E-29   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .102E-23   .000E+00
       .007     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2116   20.000   .338E-11   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2116   20.000   .293E-29   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .172E-23   .000E+00
       .007     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2116   20.000   .559E-11   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2116   20.000   .649E-29   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .281E-23   .000E+00
       .008     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .104E-10   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .160E-28   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .518E-23   .000E+00
       .008     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .187E-10   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .360E-28   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .917E-23   .000E+00
       .009     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .324E-10   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .769E-28   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .157E-22   .000E+00
       .009     -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .542E-10   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.503   .2115   20.000   .157E-27   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .262E-22   .000E+00
       .010     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .877E-10   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .310E-27   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .425E-22   .000E+00
       .010     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .138E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .592E-27   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .674E-22   .000E+00
       .011     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .212E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .110E-26   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .105E-21   .000E+00
       .011     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .318E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .198E-26   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .159E-21   .000E+00
       .012     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .466E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .349E-26   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .239E-21   .000E+00
       .012     -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .668E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.504   .2115   20.000   .599E-26   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .352E-21   .000E+00
       .013     -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2115   20.000   .939E-09   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2115   20.000   .101E-25   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .511E-21   .000E+00
       .013     -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2115   20.000   .129E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2115   20.000   .165E-25   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .732E-21   .000E+00
       .014     -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2114   20.000   .191E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2114   20.000   .308E-25   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .115E-20   .000E+00
       .014     -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2114   20.000   .274E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.505   .2114   20.000   .553E-25   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .176E-20   .000E+00
       .015     -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .418E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .115E-24   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .302E-20   .000E+00
       .016     -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .633E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .227E-24   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .504E-20   .000E+00
       .017     -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .975E-08   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .428E-24   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .821E-20   .000E+00
       .018     -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .151E-07   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.506   .2114   20.000   .780E-24   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .131E-19   .000E+00
       .018     -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2114   20.000   .233E-07   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2114   20.000   .137E-23   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .204E-19   .000E+00
       .019     -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2114   20.000   .356E-07   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2114   20.000   .235E-23   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .313E-19   .000E+00
       .020     -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2113   20.000   .537E-07   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.507   .2113   20.000   .395E-23   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .473E-19   .000E+00
       .021     -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .799E-07   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .650E-23   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .703E-19   .000E+00
       .022     -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .117E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .105E-22   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .103E-18   .000E+00
       .023     -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .188E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.508   .2113   20.000   .194E-22   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .167E-18   .000E+00
       .024     -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .294E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .350E-22   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .265E-18   .000E+00
       .025     -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .450E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .619E-22   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .414E-18   .000E+00
       .026     -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2113   20.000   .673E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.509   .2112   20.000   .107E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .635E-18   .000E+00
       .027     -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .991E-06   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .182E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .960E-18   .000E+00
       .028     -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .143E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .305E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .143E-17   .000E+00
       .029     -1.500   .2117   20.000   .000E+00   .000E+00       -1.510   .2112   20.000   .203E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .499E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .211E-17   .000E+00
       .030     -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .286E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .804E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .307E-17   .000E+00
