 Station_ID         Station_Name WMO_CODE         Country_Name Longitude  Latitude Elevation (m)
   AF68BGHL              BAGHLAN        0          AFGHANISTAN     68.75      36.2           510

 Code     Element_Name Begin_Y   Nbr_Y     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec Remarks
  201   Temp__mean_max    1958      12     8.2    10.8    16.1    22.1      29    35.8    37.4    36.2    31.7    24.7      15     9.3 FAO misc.  [FAO301]
  202   Temp__mean_min    1958      12    -2.5     0.3     5.2      10    13.6    16.7    18.5    16.3    11.7       7     1.7    -1.5 FAO misc.  [FAO301]
  297 Wind_sp_mean_mly    1958      12     0.9     1.1     1.1     1.1     1.1       1     0.8     0.5     0.8     0.9     0.8     0.8 FAO misc.  [FAO301]

