


                               Node(280)                                           Node(331)                                           Node(443)                                           Node(517)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
      3.928     -2.999   .3411   20.000   .266E-25   .000E+00      -29.963   .3207   20.000   .646E-19   .000E+00      -66.389   .2785   20.000   .187E-08   .000E+00      -85.941   .3470   20.000   .149E-02   .000E+00
      5.142     -2.997   .3411   20.000   .149E-23   .000E+00      -29.932   .3207   20.000   .140E-17   .000E+00      -66.223   .2785   20.000   .739E-08   .000E+00      -86.577   .3467   20.000   .210E-02   .000E+00
      6.761     -2.996   .3411   20.000   .743E-22   .000E+00      -29.892   .3208   20.000   .285E-16   .000E+00      -66.095   .2786   20.000   .286E-07   .000E+00      -87.245   .3464   20.000   .292E-02   .000E+00
      8.381     -2.994   .3411   20.000   .897E-21   .000E+00      -29.860   .3208   20.000   .222E-15   .000E+00      -66.036   .2786   20.000   .791E-07   .000E+00      -87.792   .3462   20.000   .371E-02   .000E+00
     10.000     -2.993   .3411   20.000   .664E-20   .000E+00      -29.837   .3208   20.000   .115E-14   .000E+00      -66.021   .2786   20.000   .179E-06   .000E+00      -88.234   .3460   20.000   .445E-02   .000E+00
     12.875     -2.992   .3411   20.000   .265E-18   .000E+00      -29.820   .3208   20.000   .170E-13   .000E+00      -66.067   .2786   20.000   .568E-06   .000E+00      -88.840   .3457   20.000   .563E-02   .000E+00
     15.750     -2.992   .3411   20.000   .268E-17   .000E+00      -29.819   .3208   20.000   .109E-12   .000E+00      -66.142   .2786   20.000   .136E-05   .000E+00      -89.321   .3455   20.000   .660E-02   .000E+00
     18.625     -2.993   .3411   20.000   .170E-16   .000E+00      -29.828   .3208   20.000   .482E-12   .000E+00      -66.228   .2785   20.000   .276E-05   .000E+00      -89.713   .3453   20.000   .739E-02   .000E+00
     21.500     -2.993   .3411   20.000   .812E-16   .000E+00      -29.841   .3208   20.000   .168E-11   .000E+00      -66.315   .2785   20.000   .495E-05   .000E+00      -90.039   .3452   20.000   .802E-02   .000E+00
     21.501     -2.993   .3411   20.000   .813E-16   .000E+00      -29.841   .3208   20.000   .168E-11   .000E+00      -66.314   .2785   20.000   .495E-05   .000E+00      -90.040   .3452   20.000   .802E-02   .000E+00
     21.502     -2.993   .3411   20.000   .813E-16   .000E+00      -29.841   .3208   20.000   .168E-11   .000E+00      -66.314   .2785   20.000   .495E-05   .000E+00      -90.040   .3452   20.000   .802E-02   .000E+00
     21.504     -2.993   .3411   20.000   .814E-16   .000E+00      -29.841   .3208   20.000   .169E-11   .000E+00      -66.314   .2785   20.000   .495E-05   .000E+00      -90.040   .3452   20.000   .802E-02   .000E+00
     21.506     -2.993   .3411   20.000   .815E-16   .000E+00      -29.841   .3208   20.000   .169E-11   .000E+00      -66.314   .2785   20.000   .495E-05   .000E+00      -90.040   .3452   20.000   .802E-02   .000E+00
     21.509     -2.993   .3411   20.000   .816E-16   .000E+00      -29.841   .3208   20.000   .169E-11   .000E+00      -66.314   .2785   20.000   .496E-05   .000E+00      -90.040   .3452   20.000   .802E-02   .000E+00
     21.513     -2.993   .3411   20.000   .817E-16   .000E+00      -29.841   .3208   20.000   .169E-11   .000E+00      -66.314   .2785   20.000   .496E-05   .000E+00      -90.038   .3452   20.000   .802E-02   .000E+00
     21.518     -2.993   .3411   20.000   .819E-16   .000E+00      -29.841   .3208   20.000   .169E-11   .000E+00      -66.314   .2785   20.000   .497E-05   .000E+00      -90.033   .3452   20.000   .802E-02   .000E+00
     21.524     -2.993   .3411   20.000   .821E-16   .000E+00      -29.841   .3208   20.000   .170E-11   .000E+00      -66.315   .2785   20.000   .497E-05   .000E+00      -90.019   .3452   20.000   .803E-02   .000E+00
     21.532     -2.993   .3411   20.000   .824E-16   .000E+00      -29.841   .3208   20.000   .170E-11   .000E+00      -66.315   .2785   20.000   .498E-05   .000E+00      -89.983   .3452   20.000   .803E-02   .000E+00
     21.540     -2.993   .3411   20.000   .827E-16   .000E+00      -29.841   .3208   20.000   .171E-11   .000E+00      -66.315   .2785   20.000   .499E-05   .000E+00      -89.921   .3452   20.000   .803E-02   .000E+00
     21.548     -2.993   .3411   20.000   .830E-16   .000E+00      -29.841   .3208   20.000   .171E-11   .000E+00      -66.315   .2785   20.000   .499E-05   .000E+00      -89.825   .3453   20.000   .804E-02   .000E+00
     21.557     -2.993   .3411   20.000   .833E-16   .000E+00      -29.842   .3208   20.000   .172E-11   .000E+00      -66.316   .2785   20.000   .500E-05   .000E+00      -89.686   .3453   20.000   .804E-02   .000E+00
     21.565     -2.993   .3411   20.000   .836E-16   .000E+00      -29.842   .3208   20.000   .172E-11   .000E+00      -66.316   .2785   20.000   .501E-05   .000E+00      -89.497   .3454   20.000   .805E-02   .000E+00
     21.573     -2.993   .3411   20.000   .839E-16   .000E+00      -29.842   .3208   20.000   .173E-11   .000E+00      -66.316   .2785   20.000   .502E-05   .000E+00      -89.247   .3455   20.000   .806E-02   .000E+00
     21.581     -2.993   .3411   20.000   .842E-16   .000E+00      -29.842   .3208   20.000   .173E-11   .000E+00      -66.316   .2785   20.000   .502E-05   .000E+00      -88.929   .3456   20.000   .806E-02   .000E+00
     21.590     -2.993   .3411   20.000   .845E-16   .000E+00      -29.842   .3208   20.000   .174E-11   .000E+00      -66.317   .2785   20.000   .503E-05   .000E+00      -88.532   .3458   20.000   .807E-02   .000E+00
     21.598     -2.993   .3411   20.000   .848E-16   .000E+00      -29.842   .3208   20.000   .175E-11   .000E+00      -66.317   .2785   20.000   .504E-05   .000E+00      -88.047   .3460   20.000   .808E-02   .000E+00
     21.606     -2.993   .3411   20.000   .852E-16   .000E+00      -29.842   .3208   20.000   .175E-11   .000E+00      -66.317   .2785   20.000   .505E-05   .000E+00      -87.461   .3463   20.000   .809E-02   .000E+00
     21.614     -2.993   .3411   20.000   .855E-16   .000E+00      -29.842   .3208   20.000   .176E-11   .000E+00      -66.317   .2785   20.000   .505E-05   .000E+00      -86.767   .3466   20.000   .810E-02   .000E+00
     21.622     -2.993   .3411   20.000   .858E-16   .000E+00      -29.842   .3208   20.000   .176E-11   .000E+00      -66.318   .2785   20.000   .506E-05   .000E+00      -85.951   .3470   20.000   .811E-02   .000E+00
     21.631     -2.993   .3411   20.000   .861E-16   .000E+00      -29.842   .3208   20.000   .177E-11   .000E+00      -66.318   .2785   20.000   .507E-05   .000E+00      -85.007   .3474   20.000   .813E-02   .000E+00
     21.639     -2.993   .3411   20.000   .864E-16   .000E+00      -29.842   .3208   20.000   .177E-11   .000E+00      -66.318   .2785   20.000   .508E-05   .000E+00      -83.922   .3479   20.000   .814E-02   .000E+00
     21.647     -2.993   .3411   20.000   .867E-16   .000E+00      -29.842   .3208   20.000   .178E-11   .000E+00      -66.318   .2785   20.000   .509E-05   .000E+00      -82.692   .3484   20.000   .816E-02   .000E+00
     21.658     -2.993   .3411   20.000   .871E-16   .000E+00      -29.842   .3208   20.000   .178E-11   .000E+00      -66.319   .2785   20.000   .510E-05   .000E+00      -80.848   .3492   20.000   .818E-02   .000E+00
     21.668     -2.993   .3411   20.000   .876E-16   .000E+00      -29.842   .3208   20.000   .179E-11   .000E+00      -66.319   .2785   20.000   .511E-05   .000E+00      -78.948   .3501   20.000   .820E-02   .000E+00
     21.679     -2.993   .3411   20.000   .880E-16   .000E+00      -29.842   .3208   20.000   .180E-11   .000E+00      -66.319   .2785   20.000   .512E-05   .000E+00      -76.805   .3512   20.000   .823E-02   .000E+00
     21.690     -2.993   .3411   20.000   .884E-16   .000E+00      -29.842   .3208   20.000   .181E-11   .000E+00      -66.320   .2785   20.000   .513E-05   .000E+00      -74.438   .3524   20.000   .826E-02   .000E+00
     21.700     -2.993   .3411   20.000   .888E-16   .000E+00      -29.842   .3208   20.000   .181E-11   .000E+00      -66.320   .2785   20.000   .514E-05   .000E+00      -71.855   .3537   20.000   .829E-02   .000E+00
     21.711     -2.993   .3411   20.000   .892E-16   .000E+00      -29.842   .3208   20.000   .182E-11   .000E+00      -66.320   .2785   20.000   .515E-05   .000E+00      -69.303   .3550   20.000   .832E-02   .000E+00
     21.722     -2.993   .3411   20.000   .897E-16   .000E+00      -29.842   .3208   20.000   .183E-11   .000E+00      -66.320   .2785   20.000   .516E-05   .000E+00      -66.645   .3565   20.000   .836E-02   .000E+00
     21.733     -2.993   .3411   20.000   .901E-16   .000E+00      -29.842   .3208   20.000   .184E-11   .000E+00      -66.321   .2785   20.000   .517E-05   .000E+00      -63.863   .3581   20.000   .839E-02   .000E+00
     21.743     -2.993   .3411   20.000   .905E-16   .000E+00      -29.842   .3208   20.000   .184E-11   .000E+00      -66.321   .2785   20.000   .518E-05   .000E+00      -61.135   .3597   20.000   .843E-02   .000E+00
     21.757     -2.993   .3411   20.000   .911E-16   .000E+00      -29.842   .3208   20.000   .185E-11   .000E+00      -66.321   .2785   20.000   .519E-05   .000E+00      -57.726   .3618   20.000   .848E-02   .000E+00
     21.770     -2.993   .3411   20.000   .916E-16   .000E+00      -29.842   .3208   20.000   .186E-11   .000E+00      -66.321   .2785   20.000   .520E-05   .000E+00      -54.320   .3640   20.000   .853E-02   .000E+00
     21.784     -2.993   .3411   20.000   .921E-16   .000E+00      -29.843   .3208   20.000   .187E-11   .000E+00      -66.322   .2785   20.000   .521E-05   .000E+00      -51.090   .3662   20.000   .858E-02   .000E+00
     21.797     -2.993   .3411   20.000   .927E-16   .000E+00      -29.843   .3208   20.000   .188E-11   .000E+00      -66.322   .2785   20.000   .523E-05   .000E+00      -47.942   .3684   20.000   .863E-02   .000E+00
     21.811     -2.993   .3411   20.000   .933E-16   .000E+00      -29.843   .3208   20.000   .189E-11   .000E+00      -66.322   .2785   20.000   .524E-05   .000E+00      -45.003   .3707   20.000   .869E-02   .000E+00
