 All cumulative fluxes (CumQ) are positive out of the region

      Time      CumQAP     CumQRP     CumQA      CumQR      CumQ3        hAtm       hRoot     hKode3    A-level
      [T]         [V]        [V]       [V]        [V]        [V]          [L]        [L]        [L] 

    101.5000  -.899E+04   .000E+00  -.899E+04   .000E+00   .000E+00      -39.6         .0         .0      61
    102.5000  -.910E+04   .000E+00  -.910E+04   .000E+00   .000E+00      -24.2         .0         .0      62
    105.5000  -.910E+04   .000E+00  -.910E+04   .000E+00   .000E+00      -49.3         .0         .0      63
    106.5000  -.934E+04   .000E+00  -.934E+04   .000E+00   .000E+00      -15.7         .0         .0      64
    107.5000  -.969E+04   .000E+00  -.969E+04   .000E+00   .000E+00       -9.4         .0         .0      65
    108.5000  -.112E+05   .000E+00  -.111E+05   .000E+00   .000E+00        -.8         .0         .0      66
    109.5000  -.122E+05   .000E+00  -.120E+05   .000E+00   .000E+00       -2.0         .0         .0      67
    110.5000  -.124E+05   .000E+00  -.122E+05   .000E+00   .000E+00      -12.6         .0         .0      68
    111.5000  -.124E+05   .000E+00  -.122E+05   .000E+00   .000E+00      -29.8         .0         .0      69
    113.5000  -.124E+05   .000E+00  -.122E+05   .000E+00   .000E+00      -40.9         .0         .0      70
    114.5000  -.125E+05   .000E+00  -.123E+05   .000E+00   .000E+00      -27.1         .0         .0      71
    115.5000  -.125E+05   .000E+00  -.123E+05   .000E+00   .000E+00      -41.1         .0         .0      72
    116.5000  -.128E+05   .000E+00  -.127E+05   .000E+00   .000E+00      -10.5         .0         .0      73
    117.5000  -.134E+05   .000E+00  -.133E+05   .000E+00   .000E+00       -5.1         .0         .0      74
    118.5000  -.135E+05   .000E+00  -.133E+05   .000E+00   .000E+00      -25.4         .0         .0      75
    119.5000  -.136E+05   .000E+00  -.134E+05   .000E+00   .000E+00      -20.8         .0         .0      76
    122.5000  -.136E+05   .000E+00  -.134E+05   .000E+00   .000E+00      -45.1         .0         .0      77
    123.5000  -.136E+05   .000E+00  -.134E+05   .000E+00   .000E+00      -42.8         .0         .0      78
    124.5000  -.137E+05   .000E+00  -.135E+05   .000E+00   .000E+00      -28.3         .0         .0      79
    127.5000  -.137E+05   .000E+00  -.135E+05   .000E+00   .000E+00      -52.5         .0         .0      80
    128.5000  -.140E+05   .000E+00  -.138E+05   .000E+00   .000E+00      -12.0         .0         .0      81
    130.5000  -.140E+05   .000E+00  -.138E+05   .000E+00   .000E+00      -40.8         .0         .0      82
    132.5000  -.141E+05   .000E+00  -.139E+05   .000E+00   .000E+00      -34.5         .0         .0      83
    133.0000  -.141E+05   .000E+00  -.139E+05   .000E+00   .000E+00      -35.2         .0         .0      84
    138.0000  -.141E+05   .000E+00  -.139E+05   .000E+00   .000E+00      -59.7         .0         .0      85
end
