 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   

 Max. number of iterations             30
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .100   .425    .440E-01    .119E+01    .179E+02   .500
    2     .100   .324    .317E-01    .122E+01    .102E+02   .500
    3     .000   .352    .282E-01    .119E+01    .212E+02   .500
    4     .100   .343    .236E-01    .115E+01    .219E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4219   -.240E+01   .3805E+00   .1618E-02   .2177E+01   .3379E+00     .9895
   .4214   -.272E+01   .4351E+00   .1636E-02   .2000E+01   .3011E+00     .9879
   .4208   -.309E+01   .4896E+00   .1652E-02   .1829E+01   .2623E+00     .9861
   .4201   -.350E+01   .5441E+00   .1664E-02   .1664E+01   .2213E+00     .9840
   .4193   -.397E+01   .5986E+00   .1673E-02   .1506E+01   .1779E+00     .9816
   .4184   -.450E+01   .6532E+00   .1677E-02   .1355E+01   .1321E+00     .9788
   .4174   -.510E+01   .7077E+00   .1677E-02   .1212E+01   .8362E-01     .9757
   .4163   -.578E+01   .7622E+00   .1671E-02   .1077E+01   .3238E-01     .9722
   .4150   -.656E+01   .8167E+00   .1660E-02   .9511E+00  -.2179E-01     .9683
   .4136   -.743E+01   .8712E+00   .1642E-02   .8336E+00  -.7904E-01     .9638
   .4119   -.843E+01   .9258E+00   .1617E-02   .7252E+00  -.1395E+00     .9588
   .4101   -.956E+01   .9803E+00   .1586E-02   .6261E+00  -.2034E+00     .9533
   .4081   -.108E+02   .1035E+01   .1547E-02   .5362E+00  -.2707E+00     .9471
   .4059   -.123E+02   .1089E+01   .1502E-02   .4555E+00  -.3415E+00     .9403
   .4035   -.139E+02   .1144E+01   .1449E-02   .3837E+00  -.4161E+00     .9329
   .4008   -.158E+02   .1198E+01   .1390E-02   .3204E+00  -.4943E+00     .9247
   .3980   -.179E+02   .1253E+01   .1326E-02   .2653E+00  -.5762E+00     .9159
   .3949   -.203E+02   .1307E+01   .1256E-02   .2178E+00  -.6619E+00     .9064
   .3916   -.230E+02   .1362E+01   .1183E-02   .1773E+00  -.7513E+00     .8962
   .3881   -.261E+02   .1416E+01   .1107E-02   .1432E+00  -.8442E+00     .8854
   .3843   -.296E+02   .1471E+01   .1029E-02   .1146E+00  -.9407E+00     .8740
   .3804   -.335E+02   .1526E+01   .9504E-03   .9109E-01  -.1041E+01     .8620
   .3763   -.380E+02   .1580E+01   .8727E-03   .7185E-01  -.1144E+01     .8494
   .3721   -.431E+02   .1635E+01   .7967E-03   .5627E-01  -.1250E+01     .8364
   .3677   -.489E+02   .1689E+01   .7233E-03   .4378E-01  -.1359E+01     .8229
   .3632   -.554E+02   .1744E+01   .6532E-03   .3386E-01  -.1470E+01     .8091
   .3586   -.628E+02   .1798E+01   .5870E-03   .2603E-01  -.1584E+01     .7950
   .3540   -.712E+02   .1853E+01   .5252E-03   .1991E-01  -.1701E+01     .7806
   .3492   -.808E+02   .1907E+01   .4679E-03   .1516E-01  -.1819E+01     .7661
   .3445   -.916E+02   .1962E+01   .4152E-03   .1149E-01  -.1940E+01     .7515
   .3397   -.104E+03   .2016E+01   .3672E-03   .8678E-02  -.2062E+01     .7368
   .3349   -.118E+03   .2071E+01   .3238E-03   .6530E-02  -.2185E+01     .7221
   .3301   -.133E+03   .2125E+01   .2847E-03   .4899E-02  -.2310E+01     .7074
   .3254   -.151E+03   .2180E+01   .2497E-03   .3665E-02  -.2436E+01     .6928
   .3207   -.172E+03   .2234E+01   .2185E-03   .2735E-02  -.2563E+01     .6783
   .3160   -.194E+03   .2289E+01   .1908E-03   .2037E-02  -.2691E+01     .6639
   .3113   -.221E+03   .2343E+01   .1664E-03   .1514E-02  -.2820E+01     .6496
   .3068   -.250E+03   .2398E+01   .1448E-03   .1123E-02  -.2949E+01     .6356
end
 
   .3240   -.100E-02  -.3000E+01   .1575E-03   .8287E+01   .9184E+00    1.0000
   .3240   -.113E-02  -.2945E+01   .1620E-03   .8235E+01   .9157E+00    1.0000
   .3240   -.129E-02  -.2891E+01   .1666E-03   .8182E+01   .9129E+00    1.0000
   .3240   -.146E-02  -.2836E+01   .1713E-03   .8127E+01   .9099E+00    1.0000
   .3240   -.165E-02  -.2782E+01   .1761E-03   .8071E+01   .9069E+00    1.0000
   .3240   -.187E-02  -.2727E+01   .1811E-03   .8014E+01   .9039E+00    1.0000
   .3240   -.212E-02  -.2673E+01   .1863E-03   .7955E+01   .9007E+00    1.0000
   .3240   -.241E-02  -.2618E+01   .1915E-03   .7895E+01   .8974E+00    1.0000
   .3240   -.273E-02  -.2564E+01   .1970E-03   .7834E+01   .8940E+00    1.0000
   .3240   -.310E-02  -.2509E+01   .2026E-03   .7771E+01   .8905E+00    1.0000
   .3240   -.351E-02  -.2455E+01   .2083E-03   .7706E+01   .8868E+00    1.0000
   .3240   -.398E-02  -.2400E+01   .2142E-03   .7640E+01   .8831E+00    1.0000
   .3240   -.451E-02  -.2346E+01   .2203E-03   .7572E+01   .8792E+00    1.0000
   .3240   -.511E-02  -.2291E+01   .2265E-03   .7503E+01   .8752E+00    1.0000
   .3240   -.580E-02  -.2237E+01   .2329E-03   .7432E+01   .8711E+00    1.0000
   .3240   -.657E-02  -.2182E+01   .2395E-03   .7359E+01   .8668E+00    1.0000
   .3240   -.745E-02  -.2128E+01   .2463E-03   .7285E+01   .8624E+00    1.0000
   .3240   -.845E-02  -.2073E+01   .2533E-03   .7209E+01   .8579E+00    1.0000
   .3240   -.958E-02  -.2019E+01   .2605E-03   .7131E+01   .8532E+00    1.0000
   .3240   -.109E-01  -.1964E+01   .2679E-03   .7052E+01   .8483E+00    1.0000
   .3240   -.123E-01  -.1910E+01   .2755E-03   .6970E+01   .8433E+00    1.0000
   .3240   -.140E-01  -.1855E+01   .2833E-03   .6887E+01   .8380E+00    1.0000
   .3240   -.158E-01  -.1800E+01   .2913E-03   .6802E+01   .8327E+00    1.0000
   .3240   -.180E-01  -.1746E+01   .2995E-03   .6716E+01   .8271E+00    1.0000
   .3240   -.204E-01  -.1691E+01   .3080E-03   .6627E+01   .8213E+00    1.0000
   .3240   -.231E-01  -.1637E+01   .3168E-03   .6536E+01   .8153E+00    1.0000
   .3240   -.262E-01  -.1582E+01   .3257E-03   .6444E+01   .8091E+00    1.0000
   .3240   -.297E-01  -.1528E+01   .3350E-03   .6349E+01   .8027E+00    1.0000
   .3240   -.336E-01  -.1473E+01   .3444E-03   .6253E+01   .7961E+00    1.0000
   .3239   -.381E-01  -.1419E+01   .3542E-03   .6154E+01   .7892E+00    1.0000
   .3239   -.432E-01  -.1364E+01   .3642E-03   .6054E+01   .7821E+00     .9999
   .3239   -.490E-01  -.1310E+01   .3745E-03   .5952E+01   .7747E+00     .9999
   .3239   -.556E-01  -.1255E+01   .3851E-03   .5848E+01   .7670E+00     .9999
   .3239   -.630E-01  -.1201E+01   .3960E-03   .5741E+01   .7590E+00     .9999
   .3239   -.714E-01  -.1146E+01   .4072E-03   .5633E+01   .7507E+00     .9999
   .3239   -.810E-01  -.1092E+01   .4187E-03   .5523E+01   .7421E+00     .9999
   .3239   -.918E-01  -.1037E+01   .4305E-03   .5410E+01   .7332E+00     .9999
   .3239   -.104E+00  -.9826E+00   .4426E-03   .5296E+01   .7240E+00     .9998
   .3239   -.118E+00  -.9281E+00   .4551E-03   .5180E+01   .7143E+00     .9998
   .3239   -.134E+00  -.8735E+00   .4679E-03   .5062E+01   .7043E+00     .9998
   .3239   -.152E+00  -.8190E+00   .4810E-03   .4942E+01   .6939E+00     .9997
   .3239   -.172E+00  -.7645E+00   .4945E-03   .4820E+01   .6830E+00     .9997
   .3239   -.195E+00  -.7100E+00   .5084E-03   .4696E+01   .6717E+00     .9996
   .3239   -.221E+00  -.6554E+00   .5226E-03   .4571E+01   .6600E+00     .9996
   .3238   -.251E+00  -.6009E+00   .5371E-03   .4443E+01   .6477E+00     .9995
   .3238   -.284E+00  -.5464E+00   .5521E-03   .4314E+01   .6349E+00     .9994
   .3238   -.322E+00  -.4919E+00   .5674E-03   .4184E+01   .6216E+00     .9993
   .3238   -.365E+00  -.4373E+00   .5831E-03   .4052E+01   .6076E+00     .9992
   .3238   -.414E+00  -.3828E+00   .5991E-03   .3918E+01   .5931E+00     .9991
   .3237   -.470E+00  -.3283E+00   .6155E-03   .3783E+01   .5779E+00     .9989
   .3237   -.532E+00  -.2738E+00   .6322E-03   .3647E+01   .5619E+00     .9988
