 Tension permeameter infiltration test - Riverside - 10 cm, 1 run        
 
 Program HYDRUS2
 Date:  30. 6.    Time:  12:39:59
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    

 Max. number of iterations             21
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .000   .278    .865E-01    .265E+01    .136E-03 -3.047

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .0785   -.236E+02   .1373E+01   .4754E-02   .4483E-04  -.4348E+01     .2824
   .0656   -.267E+02   .1427E+01   .3643E-02   .4291E-04  -.4367E+01     .2359
   .0545   -.302E+02   .1480E+01   .2750E-02   .4117E-04  -.4385E+01     .1959
   .0450   -.342E+02   .1534E+01   .2051E-02   .3957E-04  -.4403E+01     .1620
   .0371   -.387E+02   .1588E+01   .1517E-02   .3809E-04  -.4419E+01     .1334
   .0305   -.438E+02   .1641E+01   .1114E-02   .3670E-04  -.4435E+01     .1097
   .0250   -.495E+02   .1695E+01   .8145E-03   .3539E-04  -.4451E+01     .0900
   .0205   -.560E+02   .1748E+01   .5933E-03   .3415E-04  -.4467E+01     .0737
   .0168   -.634E+02   .1802E+01   .4311E-03   .3297E-04  -.4482E+01     .0603
   .0137   -.717E+02   .1855E+01   .3126E-03   .3183E-04  -.4497E+01     .0493
   .0112   -.811E+02   .1909E+01   .2264E-03   .3075E-04  -.4512E+01     .0403
   .0092   -.917E+02   .1962E+01   .1638E-03   .2970E-04  -.4527E+01     .0330
   .0075   -.104E+03   .2016E+01   .1184E-03   .2870E-04  -.4542E+01     .0269
   .0061   -.117E+03   .2069E+01   .8557E-04   .2773E-04  -.4557E+01     .0220
   .0050   -.133E+03   .2123E+01   .6181E-04   .2679E-04  -.4572E+01     .0180
   .0041   -.150E+03   .2177E+01   .4463E-04   .2589E-04  -.4587E+01     .0147
   .0033   -.170E+03   .2230E+01   .3222E-04   .2502E-04  -.4602E+01     .0120
   .0027   -.192E+03   .2284E+01   .2326E-04   .2418E-04  -.4617E+01     .0098
   .0022   -.217E+03   .2337E+01   .1679E-04   .2337E-04  -.4631E+01     .0080
   .0018   -.246E+03   .2391E+01   .1212E-04   .2258E-04  -.4646E+01     .0065
   .0015   -.278E+03   .2444E+01   .8746E-05   .2182E-04  -.4661E+01     .0053
   .0012   -.315E+03   .2498E+01   .6312E-05   .2109E-04  -.4676E+01     .0043
   .0010   -.356E+03   .2551E+01   .4555E-05   .2038E-04  -.4691E+01     .0035
   .0008   -.403E+03   .2605E+01   .3287E-05   .1970E-04  -.4706E+01     .0029
   .0007   -.455E+03   .2658E+01   .2372E-05   .1904E-04  -.4720E+01     .0024
   .0005   -.515E+03   .2712E+01   .1712E-05   .1840E-04  -.4735E+01     .0019
   .0004   -.583E+03   .2766E+01   .1235E-05   .1778E-04  -.4750E+01     .0016
   .0004   -.659E+03   .2819E+01   .8914E-06   .1718E-04  -.4765E+01     .0013
   .0003   -.746E+03   .2873E+01   .6432E-06   .1661E-04  -.4780E+01     .0010
   .0002   -.844E+03   .2926E+01   .4642E-06   .1605E-04  -.4795E+01     .0009
   .0002   -.954E+03   .2980E+01   .3349E-06   .1551E-04  -.4809E+01     .0007
   .0002   -.108E+04   .3033E+01   .2417E-06   .1499E-04  -.4824E+01     .0006
   .0001   -.122E+04   .3087E+01   .1744E-06   .1449E-04  -.4839E+01     .0005
   .0001   -.138E+04   .3140E+01   .1259E-06   .1400E-04  -.4854E+01     .0004
   .0001   -.156E+04   .3194E+01   .9082E-07   .1353E-04  -.4869E+01     .0003
   .0001   -.177E+04   .3247E+01   .6554E-07   .1308E-04  -.4883E+01     .0003
   .0001   -.200E+04   .3301E+01   .4729E-07   .1264E-04  -.4898E+01     .0002
end
