 ************************************************************************
 *                                                                      *
 *                                                                      *
 *        Tension Permeameter - Riverside data, 10cm radius, 1 run      *
 *        Cumulative infiltration                                       *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb).............1017


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .000
 SATURATED MOISTURE CONTENT..........(WCS)............      .330
 FIRST COEFFICIENT...................(ALPHA)..........      .045
 SECOND COEFFICIENT..................(N)..............     2.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1000E-03
 PORE CONECTIVITY FACTOR.............(L)..............     -.500


 Observed QUANTITY 
 ==================
    OBS     HRS     QUANTITY     TYPE  POSITION   WEIGHT
   614   3535.000   -179.529       0     3       .000097
   615   3540.000   -180.152       0     3       .000097
   616   3545.000   -181.554       0     3       .000097
   617   3550.000   -185.762       0     3       .000097
   618   3555.000   -183.113       0     3       .000097
   619   3560.000   -183.425       0     3       .000097
   620   3565.000   -182.957       0     3       .000097
   621   3570.000   -184.671       0     3       .000097
   622   3575.000   -185.762       0     3       .000097
   623   3580.000   -187.321       0     3       .000097
   624   3585.000   -188.100       0     3       .000097
   625   3590.000   -190.749       0     3       .000097
   626   3595.000   -188.723       0     3       .000097
   627   3600.000   -189.658       0     3       .000097
   628   3605.000   -191.217       0     3       .000097
   629   3610.000   -190.905       0     3       .000097
   630   3615.000   -191.996       0     3       .000097
   631   3620.000   -191.528       0     3       .000097
   632   3625.000   -188.567       0     3       .000097
   633   3630.000   -192.775       0     3       .000097
   634   3635.000   -194.645       0     3       .000097
   635   3640.000   -195.113       0     3       .000097
   636   3645.000   -195.892       0     3       .000097
   637   3650.000   -195.736       0     3       .000097
   638   3655.000   -198.074       0     3       .000097
   639   3660.000   -198.229       0     3       .000097
   640   3665.000   -199.009       0     3       .000097
   641   3670.000   -198.541       0     3       .000097
   642   3675.000   -198.853       0     3       .000097
   643   3680.000   -199.009       0     3       .000097
   644   3685.000   -201.346       0     3       .000097
   645   3690.000   -204.307       0     3       .000097
   646   3695.000   -201.190       0     3       .000097
   647   3700.000   -203.060       0     3       .000097
   648   3705.000   -203.372       0     3       .000097
   649   3710.000   -204.151       0     3       .000097
   650   3715.000   -205.086       0     3       .000097
   651   3720.000   -203.216       0     3       .000097
   652   3725.000   -204.931       0     3       .000097
   653   3730.000   -206.177       0     3       .000097
   654   3735.000   -208.203       0     3       .000097
   655   3740.000   -209.917       0     3       .000097
   656   3745.000   -206.177       0     3       .000097
   657   3750.000   -210.541       0     3       .000097
   658   3755.000   -210.541       0     3       .000097
   659   3760.000   -209.762       0     3       .000097
   660   3765.000   -210.541       0     3       .000097
   661   3770.000   -213.658       0     3       .000097
   662   3800.000   -217.242       0     3       .000097
   663   3830.000   -221.606       0     3       .000097
   664   3860.000   -225.190       0     3       .000097
   665   3890.000   -227.527       0     3       .000097
   666   3920.000   -231.579       0     3       .000097
   667   3950.000   -235.319       0     3       .000097
   668   3980.000   -239.060       0     3       .000097
   669   4010.000   -243.267       0     3       .000097
   670   4040.000   -246.228       0     3       .000097
   671   4070.000   -249.657       0     3       .000097
   672   4100.000   -254.955       0     3       .000097
   673   4130.000   -255.735       0     3       .000097
   674   4160.000   -259.631       0     3       .000097
   675   4190.000   -260.877       0     3       .000097
   676   4220.000   -265.085       0     3       .000097
   677   4250.000   -271.007       0     3       .000097
   678   4280.000   -271.942       0     3       .000097
   679   4310.000   -275.682       0     3       .000097
   680   4340.000   -276.929       0     3       .000097
   681   4370.000   -280.981       0     3       .000097
   682   4400.000   -285.189       0     3       .000097
   683   4430.000   -287.526       0     3       .000097
   684   4460.000   -292.513       0     3       .000097
   685   4490.000   -295.630       0     3       .000097
   686   4520.000   -300.149       0     3       .000097
   687   4550.000   -301.552       0     3       .000097
   688   4580.000   -304.824       0     3       .000097
   689   4610.000   -308.876       0     3       .000097
   690   4640.000   -310.902       0     3       .000097
   691   4670.000   -314.175       0     3       .000097
   692   4700.000   -318.071       0     3       .000097
   693   4730.000   -321.499       0     3       .000097
   694   4760.000   -323.681       0     3       .000097
   695   4790.000   -328.668       0     3       .000097
   696   4820.000   -330.071       0     3       .000097
   697   4850.000   -334.434       0     3       .000097
   698   4880.000   -338.018       0     3       .000097
   699   4910.000   -340.356       0     3       .000097
   700   4940.000   -343.940       0     3       .000097
   701   4970.000   -344.408       0     3       .000097
   702   5000.000   -348.304       0     3       .000097
   703   5030.000   -353.447       0     3       .000097
   704   5060.000   -356.252       0     3       .000097
   705   5090.000   -355.161       0     3       .000097
   706   5120.000   -362.018       0     3       .000097
   707   5150.000   -364.667       0     3       .000097
   708   5180.000   -367.005       0     3       .000097
   709   5210.000   -370.901       0     3       .000097
   710   5240.000   -374.174       0     3       .000097
   711   5270.000   -375.732       0     3       .000097
   712   5300.000   -379.005       0     3       .000097
   713   5330.000   -385.550       0     3       .000097
   714   5360.000   -388.511       0     3       .000097
   715   5390.000   -389.758       0     3       .000097
   716   5420.000   -390.069       0     3       .000097
   717   5450.000   -391.004       0     3       .000097
   718   5480.000   -396.459       0     3       .000097
   719   5510.000   -401.134       0     3       .000097
   720   5540.000   -403.004       0     3       .000097
   721   5570.000   -405.809       0     3       .000097
   722   5600.000   -408.303       0     3       .000097
   723   5630.000   -408.458       0     3       .000097
   724   5660.000   -410.796       0     3       .000097
   725   5690.000   -416.562       0     3       .000097
   726   5720.000   -419.056       0     3       .000097
   727   5750.000   -421.861       0     3       .000097
   728   5780.000   -427.159       0     3       .000097
   729   5810.000   -426.224       0     3       .000097
   730   5840.000   -430.120       0     3       .000097
   731   5870.000   -436.198       0     3       .000097
   732   5900.000   -437.912       0     3       .000097
   733   5930.000   -437.757       0     3       .000097
   734   5960.000   -441.341       0     3       .000097
   735   5990.000   -445.860       0     3       .000097
   736   6020.000   -448.198       0     3       .000097
   737   6050.000   -451.315       0     3       .000097
   738   6080.000   -454.431       0     3       .000097
   739   6110.000   -457.548       0     3       .000097
   740   6140.000   -460.509       0     3       .000097
   741   6170.000   -463.470       0     3       .000097
   742   6200.000   -464.094       0     3       .000097
   743   6230.000   -470.795       0     3       .000097
   744   6260.000   -474.067       0     3       .000097
   745   6290.000   -472.509       0     3       .000097
   746   6320.000   -474.223       0     3       .000097
   747   6350.000   -478.587       0     3       .000097
   748   6380.000   -482.171       0     3       .000097
   749   6410.000   -484.353       0     3       .000097
   750   6440.000   -485.911       0     3       .000097
   751   6445.000   -487.158       0     3       .000097
   752   6450.000   -487.158       0     3       .000097
   753   6455.000   -493.859       0     3       .000097
   754   6460.000   -496.508       0     3       .000097
   755   6465.000   -502.586       0     3       .000097
   756   6470.000   -505.703       0     3       .000097
   757   6475.000   -505.391       0     3       .000097
   758   6480.000   -508.041       0     3       .000097
   759   6485.000   -510.534       0     3       .000097
   760   6490.000   -508.820       0     3       .000097
   761   6495.000   -510.534       0     3       .000097
   762   6500.000   -513.495       0     3       .000097
   763   6505.000   -513.807       0     3       .000097
   764   6510.000   -514.274       0     3       .000097
   765   6515.000   -515.989       0     3       .000097
   766   6520.000   -514.586       0     3       .000097
   767   6525.000   -517.235       0     3       .000097
   768   6530.000   -520.196       0     3       .000097
   769   6535.000   -520.040       0     3       .000097
   770   6540.000   -524.404       0     3       .000097
   771   6545.000   -522.222       0     3       .000097
   772   6550.000   -525.651       0     3       .000097
   773   6555.000   -525.495       0     3       .000097
   774   6560.000   -523.781       0     3       .000097
   775   6565.000   -525.807       0     3       .000097
   776   6570.000   -527.209       0     3       .000097
   777   6575.000   -526.897       0     3       .000097
   778   6580.000   -529.235       0     3       .000097
   779   6585.000   -531.728       0     3       .000097
   780   6590.000   -529.547       0     3       .000097
   781   6595.000   -529.858       0     3       .000097
   782   6600.000   -531.573       0     3       .000097
   783   6605.000   -534.534       0     3       .000097
   784   6610.000   -533.910       0     3       .000097
   785   6615.000   -537.339       0     3       .000097
   786   6620.000   -536.871       0     3       .000097
   787   6625.000   -535.936       0     3       .000097
   788   6630.000   -542.170       0     3       .000097
   789   6635.000   -538.430       0     3       .000097
   790   6640.000   -539.676       0     3       .000097
   791   6645.000   -543.261       0     3       .000097
   792   6650.000   -544.352       0     3       .000097
   793   6655.000   -542.481       0     3       .000097
   794   6660.000   -543.572       0     3       .000097
   795   6665.000   -545.754       0     3       .000097
   796   6670.000   -548.248       0     3       .000097
   797   6675.000   -547.780       0     3       .000097
   798   6680.000   -547.313       0     3       .000097
   799   6685.000   -547.468       0     3       .000097
   800   6690.000   -549.183       0     3       .000097
   801   6695.000   -553.234       0     3       .000097
   802   6700.000   -553.234       0     3       .000097
   803   6705.000   -553.079       0     3       .000097
   804   6710.000   -551.053       0     3       .000097
   805   6715.000   -555.572       0     3       .000097
   806   6720.000   -553.702       0     3       .000097
   807   6725.000   -554.481       0     3       .000097
   808   6730.000   -556.507       0     3       .000097
   809   6735.000   -557.442       0     3       .000097
   810   6740.000   -556.819       0     3       .000097
   811   6745.000   -558.377       0     3       .000097
   812   6750.000   -559.312       0     3       .000097
   813   6755.000   -560.091       0     3       .000097
   814   6760.000   -563.364       0     3       .000097
   815   6765.000   -562.429       0     3       .000097
   816   6770.000   -563.987       0     3       .000097
   817   6775.000   -566.793       0     3       .000097
   818   6780.000   -566.948       0     3       .000097
   819   6785.000   -566.637       0     3       .000097
   820   6800.000   -570.065       0     3       .000097
   821   6815.000   -573.494       0     3       .000097
   822   6830.000   -576.455       0     3       .000097
   823   6845.000   -579.260       0     3       .000097
   824   6860.000   -581.130       0     3       .000097
   825   6875.000   -582.844       0     3       .000097
   826   6890.000   -587.519       0     3       .000097
   827   6905.000   -590.013       0     3       .000097
   828   6920.000   -592.974       0     3       .000097
   829   6935.000   -594.844       0     3       .000097
   830   6950.000   -596.247       0     3       .000097
   831   6965.000   -600.298       0     3       .000097
   832   6980.000   -601.701       0     3       .000097
   833   6995.000   -604.039       0     3       .000097
   834   7010.000   -608.714       0     3       .000097
   835   7025.000   -610.272       0     3       .000097
   836   7040.000   -612.454       0     3       .000097
   837   7055.000   -616.506       0     3       .000097
   838   7070.000   -617.441       0     3       .000097
   839   7085.000   -618.220       0     3       .000097
   840   7100.000   -623.051       0     3       .000097
   841   7115.000   -625.545       0     3       .000097
   842   7130.000   -629.285       0     3       .000097
   843   7145.000   -631.311       0     3       .000097
   844   7160.000   -633.960       0     3       .000097
   845   7175.000   -635.207       0     3       .000097
   846   7190.000   -641.284       0     3       .000097
   847   7205.000   -641.908       0     3       .000097
   848   7220.000   -643.466       0     3       .000097
   849   7235.000   -646.583       0     3       .000097
   850   7250.000   -646.116       0     3       .000097
   851   7265.000   -648.765       0     3       .000097
   852   7280.000   -648.921       0     3       .000097
   853   7295.000   -653.128       0     3       .000097
   854   7310.000   -654.998       0     3       .000097
   855   7325.000   -659.674       0     3       .000097
   856   7340.000   -659.362       0     3       .000097
   857   7355.000   -662.635       0     3       .000097
   858   7370.000   -666.375       0     3       .000097
   859   7385.000   -668.245       0     3       .000097
   860   7400.000   -671.985       0     3       .000097
   861   7415.000   -674.946       0     3       .000097
   862   7430.000   -677.128       0     3       .000097
   863   7445.000   -680.556       0     3       .000097
   864   7460.000   -681.180       0     3       .000097
   865   7475.000   -683.829       0     3       .000097
   866   7490.000   -685.387       0     3       .000097
   867   7505.000   -690.218       0     3       .000097
   868   7520.000   -691.153       0     3       .000097
   869   7535.000   -694.582       0     3       .000097
   870   7550.000   -698.322       0     3       .000097
   871   7565.000   -696.140       0     3       .000097
   872   7580.000   -701.595       0     3       .000097
   873   7595.000   -707.984       0     3       .000097
   874   7610.000   -709.543       0     3       .000097
   875   7625.000   -707.673       0     3       .000097
   876   7640.000   -712.036       0     3       .000097
   877   7655.000   -713.595       0     3       .000097
   878   7670.000   -718.893       0     3       .000097
   879   7685.000   -721.698       0     3       .000097
   880   7700.000   -723.101       0     3       .000097
   881   7715.000   -723.880       0     3       .000097
   882   7730.000   -723.724       0     3       .000097
   883   7745.000   -729.334       0     3       .000097
   884   7760.000   -730.270       0     3       .000097
   885   7775.000   -733.075       0     3       .000097
   886   7790.000   -734.789       0     3       .000097
   887   7805.000   -737.438       0     3       .000097
   888   7820.000   -740.711       0     3       .000097
   889   7835.000   -744.607       0     3       .000097
   890   7850.000   -744.763       0     3       .000097
   891   7865.000   -747.568       0     3       .000097
   892   7880.000   -749.905       0     3       .000097
   893   7895.000   -753.178       0     3       .000097
   894   7910.000   -758.321       0     3       .000097
   895   7925.000   -756.139       0     3       .000097
   896   7940.000   -759.723       0     3       .000097
   897   7955.000   -761.282       0     3       .000097
   898   7970.000   -764.710       0     3       .000097
   899   7985.000   -766.892       0     3       .000097
   900   8000.000   -768.918       0     3       .000097
   901   8015.000   -771.723       0     3       .000097
   902   8030.000   -773.437       0     3       .000097
   903   8045.000   -775.619       0     3       .000097
   904   8060.000   -777.489       0     3       .000097
   905   8075.000   -780.294       0     3       .000097
   906   8090.000   -781.853       0     3       .000097
   907   8105.000   -784.970       0     3       .000097
   908   8120.000   -787.931       0     3       .000097
   909   8135.000   -790.892       0     3       .000097
   910   8150.000   -791.359       0     3       .000097
   911   8165.000   -792.606       0     3       .000097
   912   8180.000   -797.904       0     3       .000097
   913   8195.000   -797.437       0     3       .000097
   914   8210.000   -802.268       0     3       .000097
   915   8225.000   -803.670       0     3       .000097
   916   8240.000   -806.631       0     3       .000097
   917   8255.000   -808.034       0     3       .000097
   918   8270.000   -812.709       0     3       .000097
   919   8285.000   -814.579       0     3       .000097
   920   8300.000   -817.384       0     3       .000097
   921   8315.000   -817.852       0     3       .000097
   922   8330.000   -820.969       0     3       .000097
   923   8345.000   -822.683       0     3       .000097
   924   8360.000   -824.865       0     3       .000097
   925   8375.000   -825.332       0     3       .000097
   926   8390.000   -830.319       0     3       .000097
   927   8405.000   -831.254       0     3       .000097
   928   8420.000   -835.150       0     3       .000097
   929   8435.000   -836.397       0     3       .000097
   930   8450.000   -837.332       0     3       .000097
   931   8465.000   -840.916       0     3       .000097
   932   8480.000   -842.319       0     3       .000097
   933   8495.000   -844.189       0     3       .000097
   934   8510.000   -845.747       0     3       .000097
   935   8525.000   -848.241       0     3       .000097
   936   8540.000   -850.267       0     3       .000097
   937   8555.000   -853.851       0     3       .000097
   938   8570.000   -855.098       0     3       .000097
   939   8585.000   -857.435       0     3       .000097
   940   8600.000   -860.864       0     3       .000097
   941   8615.000   -863.513       0     3       .000097
   942   8630.000   -864.448       0     3       .000097
   943   8645.000   -869.279       0     3       .000097
   944   8660.000   -869.747       0     3       .000097
   945   8675.000   -872.708       0     3       .000097
   946   8690.000   -874.890       0     3       .000097
   947   8705.000   -877.383       0     3       .000097
   948   8720.000   -880.344       0     3       .000097
   949   8735.000   -881.123       0     3       .000097
   950   8750.000   -882.682       0     3       .000097
   951   8765.000   -884.863       0     3       .000097
   952   8780.000   -890.630       0     3       .000097
   953   8795.000   -889.383       0     3       .000097
   954   8810.000   -889.695       0     3       .000097
   955   8825.000   -892.967       0     3       .000097
   956   8840.000   -896.240       0     3       .000097
   957   8855.000   -897.175       0     3       .000097
   958   8870.000   -899.045       0     3       .000097
   959   8885.000   -900.759       0     3       .000097
   960   8900.000   -900.292       0     3       .000097
   961   8915.000   -905.123       0     3       .000097
   962   8930.000   -908.395       0     3       .000097
   963   8945.000   -910.265       0     3       .000097
   964   8960.000   -916.343       0     3       .000097
   965   8975.000   -915.252       0     3       .000097
   966   9005.000   -916.967       0     3       .000097
   967   9035.000   -922.265       0     3       .000097
   968   9065.000   -928.031       0     3       .000097
   969   9095.000   -932.239       0     3       .000097
   970   9125.000   -938.940       0     3       .000097
   971   9155.000   -941.122       0     3       .000097
   972   9185.000   -947.511       0     3       .000097
   973   9215.000   -951.096       0     3       .000097
   974   9245.000   -955.927       0     3       .000097
   975   9275.000   -959.199       0     3       .000097
   976   9305.000   -964.966       0     3       .000097
   977   9335.000   -971.978       0     3       .000097
   978   9365.000   -971.823       0     3       .000097
   979   9395.000   -976.342       0     3       .000097
   980   9425.000   -979.770       0     3       .000097
   981   9455.000   -985.381       0     3       .000097
   982   9485.000   -988.342       0     3       .000097
   983   9515.000   -993.173       0     3       .000097
   984   9545.000   -997.848       0     3       .000097
   985   9575.000  -1001.280       0     3       .000097
   986   9605.000  -1003.770       0     3       .000097
   987   9635.000  -1009.380       0     3       .000097
   988   9665.000  -1014.370       0     3       .000097
   989   9695.000  -1020.760       0     3       .000097
   990   9725.000  -1025.590       0     3       .000097
   991   9755.000  -1027.150       0     3       .000097
   992   9785.000  -1032.600       0     3       .000097
   993   9815.000  -1036.500       0     3       .000097
   994   9845.000  -1039.610       0     3       .000097
   995   9875.000  -1044.440       0     3       .000097
   996   9905.000  -1047.720       0     3       .000097
   997   9935.000  -1052.550       0     3       .000097
   998   9965.000  -1057.070       0     3       .000097
   999   9995.000  -1060.960       0     3       .000097
  1000  10025.000  -1065.170       0     3       .000097
  1001  10055.000  -1071.410       0     3       .000097
  1002  10085.000  -1074.050       0     3       .000097
  1003  10115.000  -1078.260       0     3       .000097
  1004  10145.000  -1081.220       0     3       .000097
  1005  10175.000  -1085.740       0     3       .000097
  1006  10205.000  -1089.790       0     3       .000097
  1007  10235.000  -1096.500       0     3       .000097
  1008  10265.000  -1098.370       0     3       .000097
  1009  10295.000  -1103.200       0     3       .000097
  1010  10325.000  -1108.500       0     3       .000097
  1011  10355.000  -1109.270       0     3       .000097
  1012  10385.000  -1117.380       0     3       .000097
  1013  10415.000  -1118.470       0     3       .000097
  1014  10445.000  -1123.460       0     3       .000097
  1015  10475.000  -1127.350       0     3       .000097
  1016  10505.000  -1131.720       0     3       .000097
  1017     -3.000       .274       5     1      1.000000



 Parameter estimation with the  1. initial estimate
 ==================================================

 ITERATION     SSQ        WCS        ALPHA      N          CONDS      L     
      0    .1325D+00     .33000     .04500    2.00000     .00010    -.50000
      1    .2411D-01     .27026     .05067    3.20429     .00009   -1.44819
      2    .5672D-03     .27203     .05728    3.66325     .00011   -1.85533
      3    .4380D-03     .27292     .06021    3.61062     .00011   -2.12258
      4    .3002D-03     .27327     .06247    3.52431     .00011   -2.26590
      5    .2649D-03     .27361     .06425    3.43790     .00011   -2.36409
      6    .2441D-03     .27379     .06576    3.36143     .00011   -2.43705
      7    .2132D-03     .27421     .06899    3.19383     .00011   -2.57894
      8    .1916D-03     .27510     .07444    2.95815     .00012   -2.77212
      9    .1717D-03     .27594     .07815    2.85495     .00012   -2.86231
     10    .1669D-03     .27654     .08064    2.78804     .00013   -2.92109
     11    .1644D-03     .27711     .08300    2.72112     .00013   -2.97240
     12    .1612D-03     .27750     .08458    2.68882     .00013   -3.00698
     13    .1602D-03     .27780     .08568    2.66475     .00013   -3.02944
     14    .1595D-03     .27801     .08653    2.64630     .00014   -3.04669


 MASS BALANCE ERROR IN FE SOLUTION DURING FINAL RUN WAS   .7871 %

 RSQUARE FOR REGRESSION OF PREDICTED VS OBSERVED = .99990


 CORRELATION MATRIX
 ==================
         1          2          3          4          5
   1   1.0000
   2    .7274     1.0000
   3   -.6869     -.9853     1.0000
   4    .6556      .9336     -.9740     1.0000
   5   -.6770     -.9833      .9501     -.8606     1.0000

 NON-LINEAR LEAST-SQUARES ANALYSIS: FINAL RESULTS
 ================================================
                                           95% CONFIDENCE LIMITS
 VARIABLE        VALUE        S.E.COEFF.     LOWER         UPPER
   WCS          .278008         .00057       .27688       .27913
   ALPHA        .086531         .00159       .08340       .08966
   N           2.646300         .03547      2.57669      2.71591
   CONDS        .000136         .00000       .00013       .00014
   L          -3.046686         .03161     -3.10871     -2.98467


 Contributions to the final objective function

 Measurement Set   0:    .1589E-03
 Measurement Set   5:    .5748E-06


------------OBSERVED & FITTED QUANTITY -----------------------------
                                               RESI-
    NO      TIME          OBS        FITTED    DUAL   TYPE  POSITION
 1017    -3.000          .274         .273     .001     5     1


  PRESSURE    LOG P      WC       REL K     LOG RK      ABS K    LOG KA     DIFFUS     LOG D
  .000E+00             .2780     .100E+01             .136E-03
  .141E+01    .150     .2773     .937E+00   -.028     .127E-03  -3.895     .103E+00   -.987
  .168E+01    .225     .2770     .917E+00   -.038     .125E-03  -3.904     .762E-01  -1.118
  .200E+01    .300     .2764     .890E+00   -.051     .121E-03  -3.917     .560E-01  -1.252
  .237E+01    .375     .2754     .855E+00   -.068     .116E-03  -3.934     .408E-01  -1.389
  .282E+01    .450     .2740     .810E+00   -.091     .110E-03  -3.958     .295E-01  -1.530
  .335E+01    .525     .2717     .753E+00   -.123     .102E-03  -3.990     .211E-01  -1.676
  .398E+01    .600     .2682     .682E+00   -.166     .927E-04  -4.033     .149E-01  -1.828
  .473E+01    .675     .2629     .596E+00   -.225     .810E-04  -4.091     .103E-01  -1.987
  .562E+01    .750     .2550     .496E+00   -.304     .675E-04  -4.171     .698E-02  -2.156
  .668E+01    .825     .2438     .388E+00   -.411     .528E-04  -4.277     .463E-02  -2.335
  .794E+01    .900     .2285     .281E+00   -.551     .382E-04  -4.418     .298E-02  -2.525
  .944E+01    .975     .2087     .185E+00   -.733     .251E-04  -4.600     .187E-02  -2.728
  .112E+02   1.050     .1850     .109E+00   -.961     .149E-04  -4.827     .114E-02  -2.943
  .133E+02   1.125     .1588     .580E-01  -1.236     .789E-05  -5.103     .678E-03  -3.169
  .158E+02   1.200     .1321     .278E-01  -1.556     .378E-05  -5.423     .395E-03  -3.404
  .188E+02   1.275     .1070     .122E-01  -1.915     .166E-05  -5.781     .226E-03  -3.647
  .224E+02   1.350     .0847     .497E-02  -2.304     .676E-06  -6.170     .127E-03  -3.895
  .266E+02   1.425     .0660     .193E-02  -2.715     .262E-06  -6.581     .712E-04  -4.147
  .316E+02   1.500     .0508     .720E-03  -3.142     .980E-07  -7.009     .396E-04  -4.402
  .376E+02   1.575     .0388     .263E-03  -3.581     .357E-07  -7.447     .219E-04  -4.659
  .447E+02   1.650     .0295     .941E-04  -4.026     .128E-07  -7.893     .121E-04  -4.917
  .531E+02   1.725     .0223     .334E-04  -4.477     .454E-08  -8.343     .667E-05  -5.176
  .631E+02   1.800     .0169     .118E-04  -4.930     .160E-08  -8.796     .367E-05  -5.435
  .750E+02   1.875     .0127     .411E-05  -5.386     .559E-09  -9.253     .201E-05  -5.696
  .891E+02   1.950     .0096     .144E-05  -5.842     .196E-09  -9.709     .111E-05  -5.956
  .106E+03   2.025     .0072     .502E-06  -6.299     .683E-10 -10.166     .609E-06  -6.215
  .126E+03   2.100     .0054     .175E-06  -6.757     .238E-10 -10.623     .335E-06  -6.475
  .150E+03   2.175     .0041     .609E-07  -7.215     .829E-11 -11.081     .184E-06  -6.735
  .178E+03   2.250     .0031     .212E-07  -7.673     .289E-11 -11.540     .101E-06  -6.995
  .211E+03   2.325     .0023     .738E-08  -8.132     .100E-11 -11.998     .555E-07  -7.256
  .251E+03   2.400     .0017     .257E-08  -8.590     .349E-12 -12.457     .305E-07  -7.516
  .299E+03   2.475     .0013     .894E-09  -9.049     .122E-12 -12.915     .168E-07  -7.776
  .355E+03   2.550     .0010     .311E-09  -9.507     .423E-13 -13.374     .920E-08  -8.036
  .422E+03   2.625     .0007     .108E-09  -9.966     .147E-13 -13.832     .506E-08  -8.296
  .501E+03   2.700     .0006     .376E-10 -10.425     .512E-14 -14.291     .278E-08  -8.556
  .596E+03   2.775     .0004     .131E-10 -10.883     .178E-14 -14.750     .153E-08  -8.817
  .708E+03   2.850     .0003     .455E-11 -11.342     .619E-15 -15.208     .838E-09  -9.077
  .841E+03   2.925     .0002     .158E-11 -11.801     .215E-15 -15.667     .460E-09  -9.337
  .100E+04   3.000     .0002     .550E-12 -12.259     .749E-16 -16.126     .253E-09  -9.597
  .119E+04   3.075     .0001     .191E-12 -12.718     .260E-16 -16.584     .139E-09  -9.857
  .141E+04   3.150     .0001     .666E-13 -13.177     .906E-17 -17.043     .763E-10 -10.118
  .168E+04   3.225     .0001     .232E-13 -13.635     .315E-17 -17.502     .419E-10 -10.378
  .200E+04   3.300     .0001     .805E-14 -14.094     .110E-17 -17.960     .230E-10 -10.638
  .237E+04   3.375     .0000     .280E-14 -14.553     .381E-18 -18.419     .126E-10 -10.898
  .282E+04   3.450     .0000     .974E-15 -15.011     .132E-18 -18.878     .694E-11 -11.158
  .335E+04   3.525     .0000     .339E-15 -15.470     .461E-19 -19.336     .381E-11 -11.419
  .398E+04   3.600     .0000     .118E-15 -15.929     .160E-19 -19.795     .209E-11 -11.679
  .473E+04   3.675     .0000     .410E-16 -16.387     .557E-20 -20.254     .115E-11 -11.939
 
 Real time [sec]    3269.000000000000000
