 ************************************************************************
 *                                                                      *
 *                                                                      *
 *        Tension Permeameter - Riverside data, 10cm radius, 1 run      *
 *        Cumulative infiltration                                       *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb).............1017


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .000
 SATURATED MOISTURE CONTENT..........(WCS)............      .330
 FIRST COEFFICIENT...................(ALPHA)..........      .045
 SECOND COEFFICIENT..................(N)..............     2.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1000E-03
 PORE CONECTIVITY FACTOR.............(L)..............     -.500


 Observed QUANTITY 
 ==================
    OBS     HRS     QUANTITY     TYPE  POSITION   WEIGHT
   140    140.000     -9.818       0     3       .000097
   141    141.000     -9.195       0     3       .000097
   142    142.000    -10.441       0     3       .000097
   143    143.000    -11.376       0     3       .000097
   144    144.000    -10.909       0     3       .000097
   145    145.000    -12.000       0     3       .000097
   146    146.000    -10.441       0     3       .000097
   147    147.000     -8.571       0     3       .000097
   148    148.000    -11.688       0     3       .000097
   149    149.000    -11.065       0     3       .000097
   150    150.000    -12.000       0     3       .000097
   151    151.000    -11.688       0     3       .000097
   152    152.000    -12.311       0     3       .000097
   153    153.000    -12.779       0     3       .000097
   154    154.000    -11.220       0     3       .000097
   155    155.000    -11.065       0     3       .000097
   156    156.000    -11.376       0     3       .000097
   157    157.000    -10.909       0     3       .000097
   158    158.000    -11.532       0     3       .000097
   159    159.000    -11.844       0     3       .000097
   160    160.000    -11.376       0     3       .000097
   161    161.000    -11.844       0     3       .000097
   162    162.000    -11.688       0     3       .000097
   163    163.000    -12.000       0     3       .000097
   164    164.000    -12.779       0     3       .000097
   165    165.000    -13.558       0     3       .000097
   166    166.000    -12.311       0     3       .000097
   167    167.000    -11.376       0     3       .000097
   168    168.000    -12.623       0     3       .000097
   169    169.000    -12.935       0     3       .000097
   170    170.000    -11.376       0     3       .000097
   171    171.000    -12.311       0     3       .000097
   172    172.000    -12.467       0     3       .000097
   173    173.000    -11.376       0     3       .000097
   174    174.000    -11.844       0     3       .000097
   175    175.000    -13.091       0     3       .000097
   176    176.000    -12.779       0     3       .000097
   177    177.000    -14.026       0     3       .000097
   178    178.000    -15.117       0     3       .000097
   179    179.000    -13.247       0     3       .000097
   180    180.000    -12.000       0     3       .000097
   181    181.000    -15.117       0     3       .000097
   182    182.000    -14.805       0     3       .000097
   183    183.000    -14.337       0     3       .000097
   184    184.000    -15.896       0     3       .000097
   185    185.000    -13.714       0     3       .000097
   186    186.000    -15.584       0     3       .000097
   187    187.000    -14.649       0     3       .000097
   188    188.000    -15.896       0     3       .000097
   189    189.000    -14.493       0     3       .000097
   190    190.000    -13.091       0     3       .000097
   191    191.000    -13.247       0     3       .000097
   192    192.000    -13.558       0     3       .000097
   193    193.000    -13.247       0     3       .000097
   194    194.000    -17.454       0     3       .000097
   195    195.000    -12.935       0     3       .000097
   196    196.000    -14.182       0     3       .000097
   197    197.000    -12.779       0     3       .000097
   198    198.000    -15.117       0     3       .000097
   199    199.000    -12.623       0     3       .000097
   200    200.000    -13.870       0     3       .000097
   201    201.000    -13.402       0     3       .000097
   202    202.000    -13.714       0     3       .000097
   203    203.000    -12.467       0     3       .000097
   204    204.000    -14.026       0     3       .000097
   205    205.000    -14.961       0     3       .000097
   206    206.000    -14.337       0     3       .000097
   207    207.000    -14.182       0     3       .000097
   208    208.000    -13.247       0     3       .000097
   209    209.000     -9.818       0     3       .000097
   210    210.000    -12.000       0     3       .000097
   211    211.000    -12.311       0     3       .000097
   212    212.000    -13.402       0     3       .000097
   213    213.000    -15.117       0     3       .000097
   214    214.000    -13.714       0     3       .000097
   215    215.000    -14.337       0     3       .000097
   216    216.000    -15.584       0     3       .000097
   217    217.000    -14.961       0     3       .000097
   218    218.000    -12.935       0     3       .000097
   219    219.000    -14.493       0     3       .000097
   220    220.000    -14.026       0     3       .000097
   221    221.000    -13.558       0     3       .000097
   222    222.000    -13.247       0     3       .000097
   223    223.000    -15.272       0     3       .000097
   224    224.000    -15.272       0     3       .000097
   225    225.000    -14.961       0     3       .000097
   226    226.000    -13.247       0     3       .000097
   227    227.000    -16.831       0     3       .000097
   228    228.000    -16.987       0     3       .000097
   229    229.000    -15.117       0     3       .000097
   230    230.000    -14.182       0     3       .000097
   231    231.000    -15.896       0     3       .000097
   232    232.000    -16.052       0     3       .000097
   233    233.000    -20.104       0     3       .000097
   234    234.000    -14.182       0     3       .000097
   235    235.000    -14.493       0     3       .000097
   236    236.000    -13.714       0     3       .000097
   237    237.000    -14.182       0     3       .000097
   238    238.000    -15.740       0     3       .000097
   239    239.000    -15.272       0     3       .000097
   240    240.000    -14.493       0     3       .000097
   241    241.000    -16.363       0     3       .000097
   242    242.000    -15.896       0     3       .000097
   243    243.000    -14.182       0     3       .000097
   244    244.000    -15.428       0     3       .000097
   245    245.000    -14.337       0     3       .000097
   246    246.000    -15.272       0     3       .000097
   247    247.000    -16.987       0     3       .000097
   248    248.000    -14.337       0     3       .000097
   249    249.000    -15.584       0     3       .000097
   250    250.000    -15.117       0     3       .000097
   251    251.000    -15.428       0     3       .000097
   252    252.000    -16.207       0     3       .000097
   253    253.000    -15.584       0     3       .000097
   254    254.000    -15.117       0     3       .000097
   255    255.000    -16.831       0     3       .000097
   256    256.000    -16.052       0     3       .000097
   257    257.000    -16.363       0     3       .000097
   258    258.000    -15.272       0     3       .000097
   259    259.000    -15.896       0     3       .000097
   260    260.000    -15.428       0     3       .000097
   261    261.000    -17.142       0     3       .000097
   262    262.000    -17.298       0     3       .000097
   263    263.000    -15.117       0     3       .000097
   264    264.000    -14.805       0     3       .000097
   265    265.000    -14.182       0     3       .000097
   266    266.000    -15.117       0     3       .000097
   267    267.000    -15.428       0     3       .000097
   268    268.000    -15.896       0     3       .000097
   269    269.000    -17.454       0     3       .000097
   270    270.000    -16.052       0     3       .000097
   271    271.000    -16.831       0     3       .000097
   272    272.000    -16.207       0     3       .000097
   273    273.000    -19.636       0     3       .000097
   274    274.000    -18.545       0     3       .000097
   275    275.000    -16.831       0     3       .000097
   276    276.000    -18.545       0     3       .000097
   277    277.000    -15.896       0     3       .000097
   278    278.000    -20.104       0     3       .000097
   279    279.000    -17.142       0     3       .000097
   280    280.000    -16.363       0     3       .000097
   281    281.000    -17.142       0     3       .000097
   282    282.000    -16.675       0     3       .000097
   283    283.000    -16.987       0     3       .000097
   284    284.000    -16.675       0     3       .000097
   285    285.000    -17.922       0     3       .000097
   286    286.000    -17.454       0     3       .000097
   287    287.000    -15.740       0     3       .000097
   288    288.000    -18.857       0     3       .000097
   289    289.000    -17.142       0     3       .000097
   290    290.000    -17.610       0     3       .000097
   291    291.000    -16.987       0     3       .000097
   292    292.000    -17.142       0     3       .000097
   293    293.000    -20.415       0     3       .000097
   294    294.000    -18.857       0     3       .000097
   295    295.000    -19.168       0     3       .000097
   296    296.000    -20.104       0     3       .000097
   297    297.000    -20.571       0     3       .000097
   298    298.000    -18.701       0     3       .000097
   299    299.000    -21.506       0     3       .000097
   300    300.000    -18.857       0     3       .000097
   301    301.000    -18.233       0     3       .000097
   302    302.000    -19.013       0     3       .000097
   303    303.000    -18.545       0     3       .000097
   304    304.000    -16.519       0     3       .000097
   305    305.000    -17.610       0     3       .000097
   306    306.000    -17.298       0     3       .000097
   307    307.000    -17.298       0     3       .000097
   308    308.000    -16.675       0     3       .000097
   309    309.000    -19.013       0     3       .000097
   310    310.000    -18.233       0     3       .000097
   311    311.000    -19.480       0     3       .000097
   312    312.000    -18.389       0     3       .000097
   313    313.000    -19.013       0     3       .000097
   314    314.000    -18.545       0     3       .000097
   315    315.000    -17.610       0     3       .000097
   316    316.000    -17.922       0     3       .000097
   317    317.000    -19.013       0     3       .000097
   318    318.000    -19.480       0     3       .000097
   319    319.000    -16.831       0     3       .000097
   320    320.000    -19.636       0     3       .000097
   321    321.000    -17.610       0     3       .000097
   322    322.000    -18.857       0     3       .000097
   323    323.000    -19.013       0     3       .000097
   324    324.000    -19.168       0     3       .000097
   325    325.000    -19.324       0     3       .000097
   326    326.000    -20.104       0     3       .000097
   327    327.000    -19.636       0     3       .000097
   328    328.000    -19.168       0     3       .000097
   329    329.000    -18.701       0     3       .000097
   330    330.000    -19.636       0     3       .000097
   331    331.000    -21.350       0     3       .000097
   332    332.000    -21.818       0     3       .000097
   333    333.000    -19.792       0     3       .000097
   334    334.000    -19.792       0     3       .000097
   335    335.000    -20.415       0     3       .000097
   336    336.000    -21.350       0     3       .000097
   337    337.000    -20.259       0     3       .000097
   338    338.000    -20.727       0     3       .000097
   339    339.000    -21.350       0     3       .000097
   340    340.000    -21.038       0     3       .000097
   341    341.000    -21.350       0     3       .000097
   342    342.000    -19.948       0     3       .000097
   343    343.000    -20.259       0     3       .000097
   344    344.000    -21.194       0     3       .000097
   345    345.000    -21.662       0     3       .000097
   346    346.000    -19.792       0     3       .000097
   347    347.000    -19.480       0     3       .000097
   348    348.000    -20.883       0     3       .000097
   349    349.000    -20.571       0     3       .000097
   350    350.000    -20.104       0     3       .000097
   351    351.000    -19.792       0     3       .000097
   352    352.000    -20.883       0     3       .000097
   353    353.000    -21.662       0     3       .000097
   354    354.000    -21.194       0     3       .000097
   355    355.000    -20.415       0     3       .000097
   356    356.000    -21.818       0     3       .000097
   357    357.000    -22.909       0     3       .000097
   358    358.000    -21.662       0     3       .000097
   359    359.000    -22.909       0     3       .000097
   360    360.000    -20.571       0     3       .000097
   361    361.000    -22.909       0     3       .000097
   362    362.000    -22.597       0     3       .000097
   363    363.000    -23.064       0     3       .000097
   364    364.000    -22.753       0     3       .000097
   365    365.000    -22.285       0     3       .000097
   366    366.000    -21.973       0     3       .000097
   367    367.000    -22.129       0     3       .000097
   368    368.000    -22.285       0     3       .000097
   369    369.000    -21.350       0     3       .000097
   370    370.000    -22.441       0     3       .000097
   371    371.000    -21.818       0     3       .000097
   372    372.000    -21.506       0     3       .000097
   373    373.000    -22.285       0     3       .000097
   374    374.000    -21.038       0     3       .000097
   375    375.000    -21.350       0     3       .000097
   376    376.000    -20.415       0     3       .000097
   377    377.000    -22.129       0     3       .000097
   378    378.000    -22.285       0     3       .000097
   379    379.000    -21.818       0     3       .000097
   380    380.000    -21.818       0     3       .000097
   381    381.000    -21.973       0     3       .000097
   382    382.000    -22.909       0     3       .000097
   383    383.000    -23.220       0     3       .000097
   384    384.000    -22.753       0     3       .000097
   385    385.000    -22.285       0     3       .000097
   386    386.000    -22.753       0     3       .000097
   387    387.000    -22.597       0     3       .000097
