


                       Node(655)                     Node(***)                     Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .212    -35.657   .3325   20.000      -14.226   .3939   20.000       45.012   .4300   20.000      -46.818   .3085   20.000      -22.203   .3687   20.000
       .221    -35.652   .3325   20.000      -14.182   .3940   20.000       45.012   .4300   20.000      -46.816   .3085   20.000      -22.200   .3688   20.000
       .234    -35.643   .3325   20.000      -14.120   .3942   20.000       45.012   .4300   20.000      -46.815   .3085   20.000      -22.196   .3688   20.000
       .247    -35.633   .3325   20.000      -14.057   .3944   20.000       45.013   .4300   20.000      -46.813   .3085   20.000      -22.192   .3688   20.000
       .262    -35.618   .3326   20.000      -13.974   .3947   20.000       45.013   .4300   20.000      -46.811   .3085   20.000      -22.187   .3688   20.000
       .278    -35.600   .3326   20.000      -13.890   .3950   20.000       45.014   .4300   20.000      -46.808   .3085   20.000      -22.182   .3688   20.000
       .300    -35.570   .3327   20.000      -13.767   .3954   20.000       45.014   .4300   20.000      -46.805   .3085   20.000      -22.175   .3688   20.000
       .323    -35.534   .3328   20.000      -13.640   .3958   20.000       45.015   .4300   20.000      -46.802   .3085   20.000      -22.168   .3688   20.000
       .345    -35.490   .3329   20.000      -13.509   .3962   20.000       45.016   .4300   20.000      -46.799   .3085   20.000      -22.161   .3689   20.000
       .371    -35.431   .3330   20.000      -13.352   .3967   20.000       45.017   .4300   20.000      -46.795   .3085   20.000      -22.152   .3689   20.000
       .397    -35.362   .3332   20.000      -13.193   .3972   20.000       45.018   .4300   20.000      -46.791   .3085   20.000      -22.144   .3689   20.000
       .422    -35.283   .3334   20.000      -13.032   .3977   20.000       45.018   .4300   20.000      -46.787   .3086   20.000      -22.136   .3689   20.000
       .461    -35.142   .3338   20.000      -12.785   .3985   20.000       45.020   .4300   20.000      -46.780   .3086   20.000      -22.123   .3690   20.000
       .500    -34.978   .3342   20.000      -12.534   .3993   20.000       45.021   .4300   20.000      -46.773   .3086   20.000      -22.110   .3690   20.000
       .545    -34.759   .3347   20.000      -12.238   .4003   20.000       45.023   .4300   20.000      -46.764   .3086   20.000      -22.094   .3691   20.000
       .591    -34.515   .3353   20.000      -11.940   .4012   20.000       45.024   .4300   20.000      -46.754   .3086   20.000      -22.078   .3691   20.000
       .649    -34.165   .3362   20.000      -11.554   .4025   20.000       45.026   .4300   20.000      -46.740   .3087   20.000      -22.058   .3692   20.000
       .708    -33.783   .3371   20.000      -11.170   .4037   20.000       45.028   .4300   20.000      -46.724   .3087   20.000      -22.037   .3693   20.000
       .781    -33.270   .3384   20.000      -10.693   .4052   20.000       45.030   .4300   20.000      -46.702   .3087   20.000      -22.009   .3693   20.000
       .854    -32.728   .3397   20.000      -10.219   .4067   20.000       45.033   .4300   20.000      -46.678   .3088   20.000      -21.982   .3694   20.000
      1.000    -31.590   .3425   20.000       -9.281   .4096   20.000       45.038   .4300   20.000      -46.618   .3089   20.000      -21.923   .3696   20.000
      1.102    -30.778   .3445   20.000       -8.604   .4116   20.000       45.041   .4300   20.000      -46.571   .3090   20.000      -21.880   .3697   20.000
      1.205    -29.961   .3465   20.000       -7.933   .4136   20.000       45.045   .4300   20.000      -46.519   .3091   20.000      -21.836   .3699   20.000
      1.338    -28.942   .3494   20.000       -7.063   .4162   20.000       45.050   .4300   20.000      -46.443   .3093   20.000      -21.776   .3701   20.000
      1.511    -27.612   .3531   20.000       -5.989   .4191   20.000       45.057   .4300   20.000      -46.331   .3095   20.000      -21.693   .3703   20.000
      1.684    -26.318   .3568   20.000       -4.959   .4218   20.000       45.063   .4300   20.000      -46.203   .3098   20.000      -21.606   .3706   20.000
      1.909    -24.744   .3612   20.000       -3.680   .4248   20.000       45.073   .4300   20.000      -46.017   .3102   20.000      -21.484   .3709   20.000
      2.198    -22.903   .3666   20.000       -2.113   .4278   20.000       45.085   .4300   20.000      -45.747   .3107   20.000      -21.316   .3715   20.000
      2.570    -20.733   .3733   20.000        -.169   .4300   20.000       45.103   .4300   20.000      -45.356   .3115   20.000      -21.078   .3722   20.000
      3.065    -18.196   .3811   20.000        2.328   .4300   20.000       45.130   .4300   20.000      -44.779   .3127   20.000      -20.723   .3733   20.000
      3.560    -16.026   .3881   20.000        4.588   .4300   20.000       45.160   .4300   20.000      -44.159   .3140   20.000      -20.333   .3745   20.000
      4.204    -13.659   .3957   20.000        7.122   .4300   20.000       45.203   .4300   20.000      -43.303   .3158   20.000      -19.760   .3763   20.000
      5.032    -11.219   .4035   20.000        9.800   .4300   20.000       45.269   .4300   20.000      -42.168   .3181   20.000      -18.903   .3789   20.000
      6.026     -8.988   .4105   20.000       12.500   .4300   20.000       45.360   .4300   20.000      -40.813   .3210   20.000      -17.783   .3824   20.000
      7.351     -6.762   .4170   20.000       15.356   .4300   20.000       45.497   .4300   20.000      -39.106   .3245   20.000      -16.160   .3877   20.000
     10.000     -3.938   .4242   20.000       19.204   .4300   20.000       45.807   .4300   20.000      -36.344   .3308   20.000      -12.825   .3984   20.000
     11.875     -2.456   .4272   20.000       21.339   .4300   20.000       46.040   .4300   20.000      -34.733   .3348   20.000      -10.356   .4062   20.000
     14.063     -1.228   .4290   20.000       23.265   .4300   20.000       46.306   .4300   20.000      -33.233   .3385   20.000       -7.615   .4146   20.000
     16.250      -.333   .4299   20.000       24.763   .4300   20.000       46.533   .4300   20.000      -32.076   .3413   20.000       -5.125   .4213   20.000
     19.167       .490   .4300   20.000       26.296   .4300   20.000       46.806   .4300   20.000      -30.988   .3440   20.000       -2.304   .4274   20.000
     22.083      1.064   .4300   20.000       27.462   .4300   20.000       47.043   .4300   20.000      -30.233   .3459   20.000         .041   .4300   20.000
     25.000      1.467   .4300   20.000       28.330   .4300   20.000       47.234   .4300   20.000      -29.708   .3472   20.000        1.905   .4300   20.000
     30.000      1.871   .4300   20.000       29.228   .4300   20.000       47.424   .4300   20.000      -29.191   .3487   20.000        4.014   .4300   20.000
     35.000      2.111   .4300   20.000       29.774   .4300   20.000       47.542   .4300   20.000      -28.891   .3495   20.000        5.325   .4300   20.000
     40.000      2.250   .4300   20.000       30.096   .4300   20.000       47.614   .4300   20.000      -28.716   .3500   20.000        6.081   .4300   20.000
     45.000      2.332   .4300   20.000       30.284   .4300   20.000       47.655   .4300   20.000      -28.613   .3503   20.000        6.538   .4300   20.000
     50.000      2.379   .4300   20.000       30.392   .4300   20.000       47.678   .4300   20.000      -28.553   .3505   20.000        6.798   .4300   20.000
     55.000      2.406   .4300   20.000       30.451   .4300   20.000       47.692   .4300   20.000      -28.518   .3506   20.000        6.945   .4300   20.000
     60.000      2.421   .4300   20.000       30.484   .4300   20.000       47.699   .4300   20.000      -28.498   .3506   20.000        7.028   .4300   20.000
     65.000      2.430   .4300   20.000       30.502   .4300   20.000       47.704   .4300   20.000      -28.486   .3507   20.000        7.074   .4300   20.000
     70.000      2.434   .4300   20.000       30.511   .4300   20.000       47.706   .4300   20.000      -28.479   .3507   20.000        7.099   .4300   20.000
     75.000      2.437   .4300   20.000       30.517   .4300   20.000       47.707   .4300   20.000      -28.475   .3507   20.000        7.113   .4300   20.000
     80.000      2.439   .4300   20.000       30.520   .4300   20.000       47.708   .4300   20.000      -28.473   .3507   20.000        7.121   .4300   20.000
     85.000      2.440   .4300   20.000       30.522   .4300   20.000       47.708   .4300   20.000      -28.472   .3507   20.000        7.125   .4300   20.000
     90.000      2.440   .4300   20.000       30.523   .4300   20.000       47.708   .4300   20.000      -28.471   .3507   20.000        7.127   .4300   20.000
     95.000      2.440   .4300   20.000       30.523   .4300   20.000       47.709   .4300   20.000      -28.471   .3507   20.000        7.129   .4300   20.000
    100.000      2.441   .4300   20.000       30.523   .4300   20.000       47.709   .4300   20.000      -28.471   .3507   20.000        7.129   .4300   20.000
end
