

  TLevel   Time         dt      Iter  ItCum

     1  .10000E-02  .10000E-02    3      3
     2  .22995E-02  .12995E-02    3      6
     3  .39923E-02  .16929E-02    3      9
     4  .61871E-02  .21947E-02    3     12
     5  .90415E-02  .28544E-02    4     16
     6  .11896E-01  .28544E-02    3     19
     7  .15622E-01  .37260E-02    4     23
     8  .19348E-01  .37260E-02    4     27
     9  .23074E-01  .37260E-02    3     30
    10  .27891E-01  .48174E-02    4     34
    11  .32709E-01  .48174E-02    4     38
    12  .37526E-01  .48174E-02    4     42
    13  .42344E-01  .48174E-02    4     46
    14  .47161E-01  .48174E-02    4     50
    15  .51978E-01  .48174E-02    4     54
    16  .56796E-01  .48174E-02    4     58
    17  .61613E-01  .48174E-02    5     63
    18  .66431E-01  .48174E-02    5     68
    19  .71248E-01  .48174E-02    5     73
    20  .76066E-01  .48174E-02    6     79
    21  .80883E-01  .48174E-02    6     85
    22  .85701E-01  .48174E-02    6     91
    23  .90518E-01  .48174E-02    6     97
    24  .95335E-01  .48174E-02    4    101
    25  .10015E+00  .48174E-02    8    109
    26  .10354E+00  .33885E-02    6    115
    27  .10693E+00  .33885E-02    4    119
    28  .11032E+00  .33885E-02    4    123
    29  .11371E+00  .33885E-02    3    126
    30  .11810E+00  .43897E-02    4    130
    31  .12249E+00  .43897E-02    6    136
    32  .12688E+00  .43897E-02    6    142
    33  .13127E+00  .43897E-02    4    146
    34  .13566E+00  .43897E-02    5    151
    35  .14005E+00  .43897E-02    4    155
    36  .14443E+00  .43897E-02    5    160
    37  .14882E+00  .43897E-02    3    163
    38  .15449E+00  .56641E-02    4    167
    39  .16015E+00  .56641E-02    4    171
    40  .16582E+00  .56641E-02    3    174
    41  .17324E+00  .74263E-02    3    177
    42  .18285E+00  .96105E-02    4    181
    43  .19246E+00  .96105E-02    4    185
    44  .20207E+00  .96105E-02    4    189
    45  .21169E+00  .96105E-02    4    193
    46  .22130E+00  .96105E-02    3    196
    47  .23396E+00  .12668E-01    4    200
    48  .24663E+00  .12668E-01    3    203
    49  .26247E+00  .15835E-01    4    207
    50  .27830E+00  .15835E-01    3    210
    51  .30047E+00  .22170E-01    4    214
    52  .32264E+00  .22170E-01    4    218
    53  .34481E+00  .22170E-01    3    221
    54  .37068E+00  .25865E-01    4    225
    55  .39654E+00  .25865E-01    4    229
    56  .42241E+00  .25865E-01    3    232
    57  .46120E+00  .38797E-01    3    235
    58  .50000E+00  .38797E-01    3    238
    59  .54545E+00  .45455E-01    4    242
    60  .59091E+00  .45455E-01    3    245
    61  .64935E+00  .58442E-01    4    249
    62  .70779E+00  .58442E-01    3    252
    63  .78084E+00  .73052E-01    4    256
    64  .85390E+00  .73052E-01    3    259
    65  .10000E+01  .14610E+00    4    263
    66  .11023E+01  .10227E+00    4    267
    67  .12045E+01  .10227E+00    3    270
    68  .13378E+01  .13326E+00    3    273
    69  .15111E+01  .17324E+00    4    277
    70  .16843E+01  .17324E+00    3    280
    71  .19090E+01  .22475E+00    3    283
    72  .21980E+01  .28896E+00    3    286
    73  .25695E+01  .37152E+00    3    289
    74  .30649E+01  .49536E+00    4    293
    75  .35603E+01  .49536E+00    3    296
    76  .42042E+01  .64397E+00    3    299
    77  .50322E+01  .82797E+00    3    302
    78  .60258E+01  .99356E+00    3    305
    79  .73505E+01  .13247E+01    3    308
    80  .10000E+02  .26495E+01    4    312
    81  .11875E+02  .18750E+01    3    315
    82  .14063E+02  .21875E+01    4    319
    83  .16250E+02  .21875E+01    3    322
    84  .19167E+02  .29167E+01    3    325
    85  .22083E+02  .29167E+01    3    328
    86  .25000E+02  .29167E+01    3    331
    87  .30000E+02  .50000E+01    3    334
    88  .35000E+02  .50000E+01    3    337
    89  .40000E+02  .50000E+01    3    340
    90  .45000E+02  .50000E+01    2    342
    91  .50000E+02  .50000E+01    2    344
    92  .55000E+02  .50000E+01    2    346
    93  .60000E+02  .50000E+01    2    348
    94  .65000E+02  .50000E+01    2    350
    95  .70000E+02  .50000E+01    2    352
    96  .75000E+02  .50000E+01    2    354
    97  .80000E+02  .50000E+01    2    356
    98  .85000E+02  .50000E+01    2    358
    99  .90000E+02  .50000E+01    2    360
   100  .95000E+02  .50000E+01    2    362
   101  .10000E+03  .50000E+01    2    364
end
 
 Real time [sec]     407.000000000000000
