


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
      2.500   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      2.619   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      2.738   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      2.857   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      2.976   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.132   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.288   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.443   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.599   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.755   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      3.910   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.066   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.222   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.377   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.533   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.689   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      4.844   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      5.000   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      5.200   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      5.400   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
      5.600   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.999   .2426   20.000
      5.800   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.999   .2426   20.000
      6.000   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.999   .2426   20.000
      6.267   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.997   .2426   20.000
      6.533   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.996   .2426   20.000
      6.800   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.993   .2426   20.000
      7.067   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.989   .2426   20.000
      7.333   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.984   .2426   20.000
      7.600   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.977   .2426   20.000
      7.867   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.967   .2426   20.000
      8.222   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.948   .2426   20.000
      8.578   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.922   .2426   20.000
      8.933   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.887   .2427   20.000
      9.289   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.841   .2427   20.000
      9.644   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.784   .2427   20.000
     10.000   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.712   .2428   20.000
     10.341   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.630   .2428   20.000
     10.682   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.533   .2429   20.000
     11.023   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.419   .2430   20.000
     11.364   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.289   .2431   20.000
     11.804   -100.000   .2426   20.000     -100.000   .2426   20.000      -99.092   .2432   20.000
     12.243   -100.000   .2426   20.000     -100.000   .2426   20.000      -98.865   .2434   20.000
     12.683   -100.000   .2426   20.000     -100.000   .2426   20.000      -98.608   .2436   20.000
