

  TLevel   Time         dt      Iter  ItCum
   152  .40358E+02  .96419E+00    4    572
   153  .41322E+02  .96419E+00    3    575
   154  .42562E+02  .12397E+01    4    579
   155  .43802E+02  .12397E+01    4    583
   156  .45041E+02  .12397E+01    4    587
   157  .46281E+02  .12397E+01    4    591
   158  .47521E+02  .12397E+01    4    595
   159  .48760E+02  .12397E+01    4    599
   160  .50000E+02  .12397E+01    4    603
   161  .51250E+02  .12500E+01    3    606
   162  .52946E+02  .16964E+01    4    610
   163  .54643E+02  .16964E+01    4    614
   164  .56339E+02  .16964E+01    4    618
   165  .58036E+02  .16964E+01    4    622
   166  .59732E+02  .16964E+01    4    626
   167  .61429E+02  .16964E+01    4    630
   168  .63125E+02  .16964E+01    4    634
   169  .64821E+02  .16964E+01    4    638
   170  .66518E+02  .16964E+01    4    642
   171  .68214E+02  .16964E+01    4    646
   172  .69911E+02  .16964E+01    4    650
   173  .71607E+02  .16964E+01    4    654
   174  .73304E+02  .16964E+01    3    657
   175  .75000E+02  .16964E+01    3    660
   176  .77083E+02  .20833E+01    4    664
   177  .79167E+02  .20833E+01    3    667
   178  .82143E+02  .29762E+01    4    671
   179  .85119E+02  .29762E+01    4    675
   180  .88095E+02  .29762E+01    4    679
   181  .91071E+02  .29762E+01    4    683
   182  .94048E+02  .29762E+01    3    686
   183  .97024E+02  .29762E+01    3    689
   184  .10000E+03  .29762E+01    3    692
   185  .10455E+03  .45455E+01    4    696
   186  .10909E+03  .45455E+01    4    700
   187  .11364E+03  .45455E+01    4    704
   188  .11818E+03  .45455E+01    4    708
   189  .12273E+03  .45455E+01    4    712
   190  .12727E+03  .45455E+01    4    716
   191  .13182E+03  .45455E+01    3    719
   192  .13788E+03  .60606E+01    4    723
   193  .14394E+03  .60606E+01    4    727
   194  .15000E+03  .60606E+01    4    731
   195  .15625E+03  .62500E+01    4    735
   196  .16250E+03  .62500E+01    4    739
   197  .16875E+03  .62500E+01    3    742
   198  .17656E+03  .78125E+01    4    746
   199  .18438E+03  .78125E+01    4    750
   200  .19219E+03  .78125E+01    4    754
   201  .20000E+03  .78125E+01    3    757
   202  .21000E+03  .10000E+02    4    761
   203  .22000E+03  .10000E+02    4    765
   204  .23000E+03  .10000E+02    4    769
   205  .24000E+03  .10000E+02    4    773
   206  .25000E+03  .10000E+02    3    776
   207  .26250E+03  .12500E+02    4    780
   208  .27500E+03  .12500E+02    4    784
   209  .28750E+03  .12500E+02    4    788
   210  .30000E+03  .12500E+02    4    792
   211  .31250E+03  .12500E+02    4    796
   212  .32500E+03  .12500E+02    4    800
   213  .33750E+03  .12500E+02    4    804
   214  .35000E+03  .12500E+02    4    808
   215  .36250E+03  .12500E+02    4    812
   216  .37500E+03  .12500E+02    4    816
   217  .38750E+03  .12500E+02    4    820
   218  .40000E+03  .12500E+02    4    824
   219  .41250E+03  .12500E+02    4    828
   220  .42500E+03  .12500E+02    4    832
   221  .43750E+03  .12500E+02    4    836
   222  .45000E+03  .12500E+02    4    840
   223  .46250E+03  .12500E+02    4    844
   224  .47500E+03  .12500E+02    3    847
   225  .50000E+03  .25000E+02    4    851
   226  .51667E+03  .16667E+02    4    855
   227  .53333E+03  .16667E+02    4    859
   228  .55000E+03  .16667E+02    4    863
   229  .56667E+03  .16667E+02    3    866
   230  .60000E+03  .33333E+02    4    870
   231  .62500E+03  .25000E+02    4    874
   232  .65000E+03  .25000E+02    4    878
   233  .67500E+03  .25000E+02    4    882
   234  .70000E+03  .25000E+02    4    886
   235  .72500E+03  .25000E+02    3    889
   236  .75000E+03  .25000E+02    3    892
   237  .80000E+03  .50000E+02    4    896
   238  .83333E+03  .33333E+02    4    900
   239  .86667E+03  .33333E+02    4    904
   240  .90000E+03  .33333E+02    4    908
   241  .93333E+03  .33333E+02    4    912
   242  .96667E+03  .33333E+02    4    916
   243  .10000E+04  .33333E+02    3    919
   244  .10500E+04  .50000E+02    4    923
   245  .11000E+04  .50000E+02    4    927
   246  .11500E+04  .50000E+02    4    931
   247  .12000E+04  .50000E+02    4    935
   248  .12500E+04  .50000E+02    4    939
   249  .13000E+04  .50000E+02    4    943
   250  .13500E+04  .50000E+02    4    947
   251  .14000E+04  .50000E+02    4    951
   252  .14500E+04  .50000E+02    4    955
