 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  23. 2.    Time:  13:52:18
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   66   87   -2.0   -4.4   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   67   88   -2.0   -4.5   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   68   89   -2.0   -4.6   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   69   90   -2.1   -4.8   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   70   91   -2.1   -4.9   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   71   92   -2.1   -5.0   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   72   93   -2.1   -5.1   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   73   94   -2.0   -5.3   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   74   95   -2.0   -5.4   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   75   96   -2.0   -5.5   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   76   97   -2.0   -5.6   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   77   98   -2.0   -5.8   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   78   99   -2.0   -5.9   -2   .000E+00   .000E+00       -1.0   .240     20.00  .000E+00
   79  100   -5.0    1.0   -1   .205E-02  -.250E-01        -.2   .383     20.00  .785E+00
   80  134   -5.0  -10.0   -6  -.851E-04   .340E-03       -1.0   .242     20.00  .000E+00
   81  135   -4.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   82  136   -4.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   83  137   -3.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   84  138   -3.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   85  139   -2.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   86  140   -2.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   87  141   -1.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   88  142   -1.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   89  143    -.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   90  144     .0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   91  145     .5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   92  146    1.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   93  147    1.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   94  148    2.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   95  149    2.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   96  150    3.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   97  151    3.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   98  152    4.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   99  153    4.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
  100  154    5.0  -10.0   -6  -.851E-04   .340E-03       -1.0   .242     20.00  .000E+00
  101  188    5.0    1.0   -1   .205E-02  -.250E-01        -.2   .383     20.00  .785E+00
  102  189    4.8    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  103  190    4.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  104  191    4.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  105  192    4.3    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  106  193    4.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  107  194    4.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  108  195    3.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  109  196    3.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  110  197    3.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  111  198    3.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  112  199    3.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  113  200    3.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  114  201    2.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  115  202    2.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  116  203    2.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  117  204    2.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  118  205    2.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  119  206    2.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  120  207    1.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  121  208    1.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  122  209    1.6    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  123  210    1.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  124  211    1.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  125  212    1.1    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  126  213     .9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  127  214     .7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  128  215     .6    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  129  216     .4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  130  217     .2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  131  218     .1    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  132  219    -.1    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  133  220    -.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  134  221    -.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  135  222    -.6    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  136  223    -.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  137  224    -.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  138  225   -1.1    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  139  226   -1.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  140  227   -1.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  141  228   -1.6    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  142  229   -1.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  143  230   -1.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  144  231   -2.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  145  232   -2.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  146  233   -2.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  147  234   -2.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  148  235   -2.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  149  236   -2.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  150  237   -3.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  151  238   -3.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  152  239   -3.4    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  153  240   -3.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  154  241   -3.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .786E+00
  155  242   -3.9    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  156  243   -4.0    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  157  244   -4.2    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  158  245   -4.3    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  159  246   -4.5    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  160  247   -4.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00
  161  248   -4.8    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .784E+00


 Time:     20.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1   -2.0   -6.0   -2   .000E+00   .000E+00       -1.1   .234     20.00  .000E+00
    2   23    2.0   -6.0   -2   .000E+00   .000E+00       -1.1   .235     20.00  .000E+00
    3   24    2.0   -5.9   -2   .000E+00   .000E+00       -1.0   .240     20.00  .000E+00
    4   25    2.0   -5.7   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
    5   26    2.0   -5.6   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
    6   27    2.0   -5.5   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
    7   28    2.0   -5.4   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
    8   29    2.0   -5.2   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
    9   30    2.0   -5.1   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   10   31    2.0   -5.0   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   11   32    2.0   -4.9   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   12   33    2.0   -4.8   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   13   34    2.0   -4.6   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   14   35    1.9   -4.5   -2   .000E+00   .000E+00       -1.0   .246     20.00  .000E+00
   15   36    1.9   -4.4   -2   .000E+00   .000E+00        -.9   .247     20.00  .000E+00
