


                               Node(655)                                           Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
    101.390     -1.757   .4283   20.000   .299E-10   .000E+00       25.971   .4300   20.000   .571E+00   .000E+00       47.712   .4300   20.000   .000E+00   .000E+00      -28.622   .3503   20.000   .000E+00   .000E+00        7.233   .4300   20.000   .167E-19   .000E+00
    101.807     -2.609   .4269   20.000   .309E-10   .000E+00       25.192   .4300   20.000   .576E+00   .000E+00       47.711   .4300   20.000   .000E+00   .000E+00      -28.705   .3500   20.000   .000E+00   .000E+00        7.194   .4300   20.000   .202E-19   .000E+00
    102.350     -3.535   .4251   20.000   .323E-10   .000E+00       24.332   .4300   20.000   .583E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.840   .3497   20.000   .000E+00   .000E+00        7.096   .4300   20.000   .258E-19   .000E+00
    103.058     -4.533   .4228   20.000   .341E-10   .000E+00       23.397   .4300   20.000   .591E+00   .000E+00       47.701   .4300   20.000   .000E+00   .000E+00      -29.048   .3491   20.000   .000E+00   .000E+00        6.908   .4300   20.000   .352E-19   .000E+00
    103.908     -5.475   .4204   20.000   .363E-10   .000E+00       22.466   .4300   20.000   .601E+00   .000E+00       47.687   .4300   20.000   .000E+00   .000E+00      -29.320   .3483   20.000   .000E+00   .000E+00        6.627   .4300   20.000   .509E-19   .000E+00
    104.758     -6.296   .4183   20.000   .383E-10   .000E+00       21.657   .4300   20.000   .611E+00   .000E+00       47.669   .4300   20.000   .000E+00   .000E+00      -29.605   .3475   20.000   .000E+00   .000E+00        6.314   .4300   20.000   .730E-19   .000E+00
    105.609     -7.026   .4162   20.000   .403E-10   .000E+00       20.937   .4300   20.000   .620E+00   .000E+00       47.649   .4300   20.000   .000E+00   .000E+00      -29.898   .3467   20.000   .000E+00   .000E+00        5.982   .4300   20.000   .104E-18   .000E+00
    106.459     -7.670   .4144   20.000   .424E-10   .000E+00       20.295   .4300   20.000   .629E+00   .000E+00       47.626   .4300   20.000   .000E+00   .000E+00      -30.188   .3460   20.000   .000E+00   .000E+00        5.661   .4300   20.000   .147E-18   .000E+00
    107.309     -8.241   .4127   20.000   .445E-10   .000E+00       19.721   .4300   20.000   .638E+00   .000E+00       47.603   .4300   20.000   .000E+00   .000E+00      -30.466   .3453   20.000   .000E+00   .000E+00        5.332   .4300   20.000   .206E-18   .000E+00
    108.160     -8.759   .4112   20.000   .466E-10   .000E+00       19.189   .4300   20.000   .647E+00   .000E+00       47.579   .4300   20.000   .000E+00   .000E+00      -30.733   .3447   20.000   .000E+00   .000E+00        5.007   .4300   20.000   .287E-18   .000E+00
