 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  20. 2.    Time:   4:35:34
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = mmol 

 Max. number of iterations             21
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .008   .350    .527E-01    .611E+01    .965E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .0080   -.566E+04   .3753E+01   .7158E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.575E+04   .3760E+01   .6481E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.585E+04   .3767E+01   .5869E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.594E+04   .3774E+01   .5314E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.604E+04   .3781E+01   .4812E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.614E+04   .3788E+01   .4357E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.624E+04   .3795E+01   .3946E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.634E+04   .3802E+01   .3573E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.645E+04   .3809E+01   .3235E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.655E+04   .3816E+01   .2930E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.666E+04   .3823E+01   .2653E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.677E+04   .3831E+01   .2402E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.688E+04   .3838E+01   .2175E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.699E+04   .3845E+01   .1970E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.711E+04   .3852E+01   .1784E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.722E+04   .3859E+01   .1615E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.734E+04   .3866E+01   .1462E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.746E+04   .3873E+01   .1324E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.759E+04   .3880E+01   .1199E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.771E+04   .3887E+01   .1086E-16   .1000E-36  -.3700E+02     .0000
   .0080   -.784E+04   .3894E+01   .9832E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.796E+04   .3901E+01   .8903E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.809E+04   .3908E+01   .8062E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.823E+04   .3915E+01   .7300E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.836E+04   .3922E+01   .6610E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.850E+04   .3929E+01   .5986E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.864E+04   .3936E+01   .5420E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.878E+04   .3944E+01   .4908E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.892E+04   .3951E+01   .4444E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.907E+04   .3958E+01   .4024E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.922E+04   .3965E+01   .3644E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.937E+04   .3972E+01   .3300E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.952E+04   .3979E+01   .2988E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.968E+04   .3986E+01   .2706E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.984E+04   .3993E+01   .2450E-17   .1000E-36  -.3700E+02     .0000
   .0080   -.100E+05   .4000E+01   .2218E-17   .1000E-36  -.3700E+02     .0000
end
