 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:   5. 3.    Time:  15:52:28
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .070   .300    .750E-01    .170E+01    .864E+00   .500
    2     .040   .380    .155E+00    .243E+01    .864E+03   .500
    3     .005   .420    .493E+01    .219E+01    .432E+05   .500
    4     .160   .440    .200E-02    .126E+01    .864E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .2425   -.134E+02   .1128E+01   .4522E-02   .4544E-01  -.1343E+01     .7498
   .2376   -.145E+02   .1162E+01   .4331E-02   .3772E-01  -.1423E+01     .7286
   .2325   -.157E+02   .1197E+01   .4121E-02   .3106E-01  -.1508E+01     .7066
   .2273   -.170E+02   .1231E+01   .3897E-02   .2537E-01  -.1596E+01     .6841
   .2220   -.184E+02   .1265E+01   .3663E-02   .2056E-01  -.1687E+01     .6611
   .2167   -.199E+02   .1300E+01   .3423E-02   .1655E-01  -.1781E+01     .6378
   .2113   -.216E+02   .1334E+01   .3180E-02   .1322E-01  -.1879E+01     .6142
   .2058   -.233E+02   .1368E+01   .2939E-02   .1049E-01  -.1979E+01     .5906
   .2004   -.253E+02   .1403E+01   .2702E-02   .8278E-02  -.2082E+01     .5671
   .1951   -.273E+02   .1437E+01   .2472E-02   .6492E-02  -.2188E+01     .5438
   .1898   -.296E+02   .1471E+01   .2252E-02   .5064E-02  -.2296E+01     .5207
   .1845   -.320E+02   .1506E+01   .2043E-02   .3931E-02  -.2406E+01     .4980
   .1794   -.347E+02   .1540E+01   .1846E-02   .3037E-02  -.2518E+01     .4758
   .1744   -.375E+02   .1574E+01   .1662E-02   .2337E-02  -.2631E+01     .4540
   .1696   -.406E+02   .1609E+01   .1492E-02   .1792E-02  -.2747E+01     .4329
   .1649   -.439E+02   .1643E+01   .1335E-02   .1369E-02  -.2864E+01     .4124
   .1603   -.476E+02   .1677E+01   .1192E-02   .1042E-02  -.2982E+01     .3926
   .1559   -.515E+02   .1711E+01   .1062E-02   .7918E-03  -.3101E+01     .3735
   .1517   -.557E+02   .1746E+01   .9434E-03   .5999E-03  -.3222E+01     .3551
   .1476   -.603E+02   .1780E+01   .8368E-03   .4535E-03  -.3343E+01     .3374
   .1437   -.652E+02   .1814E+01   .7410E-03   .3422E-03  -.3466E+01     .3204
   .1400   -.706E+02   .1849E+01   .6551E-03   .2577E-03  -.3589E+01     .3042
   .1364   -.764E+02   .1883E+01   .5785E-03   .1938E-03  -.3713E+01     .2886
   .1330   -.827E+02   .1917E+01   .5102E-03   .1456E-03  -.3837E+01     .2738
   .1297   -.895E+02   .1952E+01   .4494E-03   .1092E-03  -.3962E+01     .2596
   .1266   -.968E+02   .1986E+01   .3956E-03   .8181E-04  -.4087E+01     .2461
   .1237   -.105E+03   .2020E+01   .3479E-03   .6124E-04  -.4213E+01     .2333
   .1208   -.113E+03   .2055E+01   .3058E-03   .4581E-04  -.4339E+01     .2211
   .1182   -.123E+03   .2089E+01   .2685E-03   .3424E-04  -.4466E+01     .2094
   .1156   -.133E+03   .2123E+01   .2357E-03   .2557E-04  -.4592E+01     .1984
   .1132   -.144E+03   .2158E+01   .2068E-03   .1909E-04  -.4719E+01     .1879
   .1109   -.156E+03   .2192E+01   .1814E-03   .1424E-04  -.4846E+01     .1780
   .1088   -.168E+03   .2226E+01   .1590E-03   .1062E-04  -.4974E+01     .1685
   .1067   -.182E+03   .2261E+01   .1393E-03   .7920E-05  -.5101E+01     .1596
   .1047   -.197E+03   .2295E+01   .1221E-03   .5902E-05  -.5229E+01     .1511
   .1029   -.213E+03   .2329E+01   .1069E-03   .4397E-05  -.5357E+01     .1430
   .1011   -.231E+03   .2364E+01   .9362E-04   .3276E-05  -.5485E+01     .1354
   .0995   -.250E+03   .2398E+01   .8196E-04   .2439E-05  -.5613E+01     .1281
end
 
   .3800   -.100E+00  -.1000E+01   .1947E-03   .8595E+03   .2934E+01    1.0000
   .3800   -.108E+00  -.9657E+00   .2180E-03   .8590E+03   .2934E+01    1.0000
   .3800   -.117E+00  -.9314E+00   .2440E-03   .8584E+03   .2934E+01    1.0000
   .3800   -.127E+00  -.8970E+00   .2732E-03   .8577E+03   .2933E+01    1.0000
   .3800   -.137E+00  -.8627E+00   .3059E-03   .8570E+03   .2933E+01     .9999
   .3800   -.148E+00  -.8284E+00   .3425E-03   .8561E+03   .2933E+01     .9999
   .3800   -.161E+00  -.7941E+00   .3835E-03   .8552E+03   .2932E+01     .9999
   .3800   -.174E+00  -.7597E+00   .4293E-03   .8541E+03   .2932E+01     .9999
   .3800   -.188E+00  -.7254E+00   .4807E-03   .8530E+03   .2931E+01     .9999
   .3800   -.204E+00  -.6911E+00   .5381E-03   .8516E+03   .2930E+01     .9999
   .3799   -.220E+00  -.6568E+00   .6025E-03   .8502E+03   .2930E+01     .9998
   .3799   -.239E+00  -.6225E+00   .6745E-03   .8485E+03   .2929E+01     .9998
   .3799   -.258E+00  -.5881E+00   .7551E-03   .8467E+03   .2928E+01     .9998
   .3799   -.279E+00  -.5538E+00   .8454E-03   .8446E+03   .2927E+01     .9997
   .3799   -.302E+00  -.5195E+00   .9464E-03   .8423E+03   .2925E+01     .9997
   .3799   -.327E+00  -.4852E+00   .1059E-02   .8397E+03   .2924E+01     .9996
   .3798   -.354E+00  -.4508E+00   .1186E-02   .8368E+03   .2923E+01     .9995
   .3798   -.383E+00  -.4165E+00   .1327E-02   .8335E+03   .2921E+01     .9994
   .3797   -.415E+00  -.3822E+00   .1486E-02   .8299E+03   .2919E+01     .9993
   .3797   -.449E+00  -.3479E+00   .1663E-02   .8259E+03   .2917E+01     .9991
   .3796   -.486E+00  -.3135E+00   .1861E-02   .8213E+03   .2915E+01     .9989
   .3795   -.526E+00  -.2792E+00   .2082E-02   .8163E+03   .2912E+01     .9987
   .3795   -.569E+00  -.2449E+00   .2329E-02   .8106E+03   .2909E+01     .9984
   .3793   -.616E+00  -.2106E+00   .2606E-02   .8043E+03   .2905E+01     .9981
   .3792   -.666E+00  -.1763E+00   .2914E-02   .7973E+03   .2902E+01     .9976
   .3790   -.721E+00  -.1419E+00   .3258E-02   .7894E+03   .2897E+01     .9971
   .3788   -.781E+00  -.1076E+00   .3642E-02   .7807E+03   .2892E+01     .9965
   .3786   -.845E+00  -.7329E-01   .4070E-02   .7709E+03   .2887E+01     .9958
   .3783   -.914E+00  -.3897E-01   .4546E-02   .7601E+03   .2881E+01     .9949
   .3779   -.989E+00  -.4644E-02   .5075E-02   .7481E+03   .2874E+01     .9939
   .3775   -.107E+01   .2968E-01   .5663E-02   .7348E+03   .2866E+01     .9926
   .3770   -.116E+01   .6400E-01   .6314E-02   .7200E+03   .2857E+01     .9910
   .3763   -.125E+01   .9832E-01   .7033E-02   .7037E+03   .2847E+01     .9892
   .3756   -.136E+01   .1326E+00   .7826E-02   .6857E+03   .2836E+01     .9869
   .3746   -.147E+01   .1670E+00   .8698E-02   .6659E+03   .2823E+01     .9842
   .3735   -.159E+01   .2013E+00   .9652E-02   .6442E+03   .2809E+01     .9809
   .3722   -.172E+01   .2356E+00   .1069E-01   .6206E+03   .2793E+01     .9770
   .3706   -.186E+01   .2699E+00   .1182E-01   .5948E+03   .2774E+01     .9723
   .3687   -.201E+01   .3043E+00   .1302E-01   .5670E+03   .2754E+01     .9668
   .3664   -.218E+01   .3386E+00   .1431E-01   .5370E+03   .2730E+01     .9601
   .3637   -.236E+01   .3729E+00   .1567E-01   .5050E+03   .2703E+01     .9522
   .3606   -.255E+01   .4072E+00   .1709E-01   .4712E+03   .2673E+01     .9428
   .3568   -.276E+01   .4416E+00   .1853E-01   .4356E+03   .2639E+01     .9318
   .3524   -.299E+01   .4759E+00   .1999E-01   .3987E+03   .2601E+01     .9189
   .3473   -.324E+01   .5102E+00   .2141E-01   .3609E+03   .2557E+01     .9040
   .3415   -.350E+01   .5445E+00   .2275E-01   .3226E+03   .2509E+01     .8867
   .3347   -.379E+01   .5788E+00   .2396E-01   .2844E+03   .2454E+01     .8668
   .3271   -.410E+01   .6132E+00   .2499E-01   .2471E+03   .2393E+01     .8444
   .3185   -.444E+01   .6475E+00   .2578E-01   .2113E+03   .2325E+01     .8191
   .3090   -.481E+01   .6818E+00   .2628E-01   .1776E+03   .2249E+01     .7911
   .2986   -.520E+01   .7161E+00   .2645E-01   .1466E+03   .2166E+01     .7605
   .2873   -.563E+01   .7505E+00   .2625E-01   .1188E+03   .2075E+01     .7273
   .2752   -.609E+01   .7848E+00   .2569E-01   .9447E+02   .1975E+01     .6919
   .2626   -.659E+01   .8191E+00   .2477E-01   .7370E+02   .1867E+01     .6547
   .2495   -.714E+01   .8534E+00   .2355E-01   .5641E+02   .1751E+01     .6161
   .2361   -.772E+01   .8877E+00   .2206E-01   .4240E+02   .1627E+01     .5767
   .2226   -.836E+01   .9221E+00   .2038E-01   .3131E+02   .1496E+01     .5371
   .2092   -.904E+01   .9564E+00   .1858E-01   .2274E+02   .1357E+01     .4977
   .1961   -.979E+01   .9907E+00   .1673E-01   .1626E+02   .1211E+01     .4591
   .1834   -.106E+02   .1025E+01   .1489E-01   .1146E+02   .1059E+01     .4217
   .1712   -.115E+02   .1059E+01   .1312E-01   .7982E+01   .9021E+00     .3859
   .1596   -.124E+02   .1094E+01   .1145E-01   .5494E+01   .7399E+00     .3519
   .1488   -.134E+02   .1128E+01   .9913E-02   .3745E+01   .5734E+00     .3199
   .1386   -.145E+02   .1162E+01   .8519E-02   .2530E+01   .4031E+00     .2900
   .1292   -.157E+02   .1197E+01   .7276E-02   .1696E+01   .2295E+00     .2623
   .1205   -.170E+02   .1231E+01   .6180E-02   .1130E+01   .5306E-01     .2368
   .1126   -.184E+02   .1265E+01   .5225E-02   .7485E+00  -.1258E+00     .2134
   .1053   -.199E+02   .1300E+01   .4400E-02   .4935E+00  -.3067E+00     .1920
   .0987   -.216E+02   .1334E+01   .3693E-02   .3241E+00  -.4893E+00     .1726
   .0927   -.233E+02   .1368E+01   .3091E-02   .2121E+00  -.6734E+00     .1550
   .0873   -.253E+02   .1403E+01   .2581E-02   .1385E+00  -.8587E+00     .1390
   .0824   -.273E+02   .1437E+01   .2151E-02   .9016E-01  -.1045E+01     .1246
   .0780   -.296E+02   .1471E+01   .1790E-02   .5859E-01  -.1232E+01     .1116
   .0740   -.320E+02   .1506E+01   .1487E-02   .3801E-01  -.1420E+01     .0999
   .0704   -.347E+02   .1540E+01   .1234E-02   .2463E-01  -.1609E+01     .0894
   .0672   -.375E+02   .1574E+01   .1023E-02   .1594E-01  -.1798E+01     .0800
   .0643   -.406E+02   .1609E+01   .8474E-03   .1031E-01  -.1987E+01     .0716
   .0618   -.439E+02   .1643E+01   .7015E-03   .6658E-02  -.2177E+01     .0640
   .0595   -.476E+02   .1677E+01   .5805E-03   .4299E-02  -.2367E+01     .0572
   .0574   -.515E+02   .1711E+01   .4801E-03   .2774E-02  -.2557E+01     .0511
   .0555   -.557E+02   .1746E+01   .3969E-03   .1789E-02  -.2747E+01     .0457
   .0539   -.603E+02   .1780E+01   .3280E-03   .1154E-02  -.2938E+01     .0408
   .0524   -.652E+02   .1814E+01   .2710E-03   .7436E-03  -.3129E+01     .0365
   .0511   -.706E+02   .1849E+01   .2239E-03   .4792E-03  -.3320E+01     .0326
   .0499   -.764E+02   .1883E+01   .1849E-03   .3087E-03  -.3510E+01     .0291
   .0488   -.827E+02   .1917E+01   .1527E-03   .1989E-03  -.3701E+01     .0260
   .0479   -.895E+02   .1952E+01   .1261E-03   .1281E-03  -.3892E+01     .0232
   .0471   -.968E+02   .1986E+01   .1041E-03   .8249E-04  -.4084E+01     .0208
   .0463   -.105E+03   .2020E+01   .8596E-04   .5312E-04  -.4275E+01     .0186
   .0456   -.113E+03   .2055E+01   .7096E-04   .3420E-04  -.4466E+01     .0166
   .0450   -.123E+03   .2089E+01   .5858E-04   .2202E-04  -.4657E+01     .0148
   .0445   -.133E+03   .2123E+01   .4835E-04   .1418E-04  -.4848E+01     .0132
   .0440   -.144E+03   .2158E+01   .3991E-04   .9128E-05  -.5040E+01     .0118
   .0436   -.156E+03   .2192E+01   .3294E-04   .5876E-05  -.5231E+01     .0105
   .0432   -.168E+03   .2226E+01   .2719E-04   .3783E-05  -.5422E+01     .0094
   .0429   -.182E+03   .2261E+01   .2244E-04   .2435E-05  -.5613E+01     .0084
   .0426   -.197E+03   .2295E+01   .1852E-04   .1567E-05  -.5805E+01     .0075
   .0423   -.213E+03   .2329E+01   .1529E-04   .1009E-05  -.5996E+01     .0067
   .0420   -.231E+03   .2364E+01   .1262E-04   .6495E-06  -.6187E+01     .0060
   .0418   -.250E+03   .2398E+01   .1041E-04   .4181E-06  -.6379E+01     .0054
end
 
   .3787   -.100E+00  -.1000E+01   .7794E+00   .1535E+05   .4186E+01     .9006
   .3722   -.108E+00  -.9657E+00   .8143E+00   .1372E+05   .4137E+01     .8848
   .3648   -.117E+00  -.9314E+00   .8444E+00   .1212E+05   .4084E+01     .8670
   .3565   -.127E+00  -.8970E+00   .8685E+00   .1058E+05   .4025E+01     .8471
   .3474   -.137E+00  -.8627E+00   .8853E+00   .9116E+04   .3960E+01     .8251
   .3374   -.148E+00  -.8284E+00   .8937E+00   .7745E+04   .3889E+01     .8009
   .3264   -.161E+00  -.7941E+00   .8930E+00   .6487E+04   .3812E+01     .7745
   .3147   -.174E+00  -.7597E+00   .8827E+00   .5353E+04   .3729E+01     .7463
   .3022   -.188E+00  -.7254E+00   .8627E+00   .4351E+04   .3639E+01     .7162
   .2891   -.204E+00  -.6911E+00   .8336E+00   .3484E+04   .3542E+01     .6845
   .2754   -.220E+00  -.6568E+00   .7962E+00   .2747E+04   .3439E+01     .6516
   .2614   -.239E+00  -.6225E+00   .7519E+00   .2135E+04   .3329E+01     .6178
   .2471   -.258E+00  -.5881E+00   .7021E+00   .1636E+04   .3214E+01     .5834
   .2328   -.279E+00  -.5538E+00   .6486E+00   .1237E+04   .3092E+01     .5489
   .2185   -.302E+00  -.5195E+00   .5930E+00   .9231E+03   .2965E+01     .5145
   .2045   -.327E+00  -.4852E+00   .5370E+00   .6809E+03   .2833E+01     .4807
   .1908   -.354E+00  -.4508E+00   .4821E+00   .4968E+03   .2696E+01     .4477
   .1775   -.383E+00  -.4165E+00   .4292E+00   .3588E+03   .2555E+01     .4158
   .1648   -.415E+00  -.3822E+00   .3793E+00   .2569E+03   .2410E+01     .3851
   .1527   -.449E+00  -.3479E+00   .3331E+00   .1825E+03   .2261E+01     .3559
   .1412   -.486E+00  -.3135E+00   .2907E+00   .1287E+03   .2110E+01     .3282
   .1304   -.526E+00  -.2792E+00   .2524E+00   .9021E+02   .1955E+01     .3021
   .1202   -.569E+00  -.2449E+00   .2182E+00   .6289E+02   .1799E+01     .2776
   .1107   -.616E+00  -.2106E+00   .1879E+00   .4364E+02   .1640E+01     .2548
   .1019   -.666E+00  -.1763E+00   .1612E+00   .3015E+02   .1479E+01     .2336
   .0938   -.721E+00  -.1419E+00   .1379E+00   .2076E+02   .1317E+01     .2139
   .0862   -.781E+00  -.1076E+00   .1177E+00   .1425E+02   .1154E+01     .1957
   .0792   -.845E+00  -.7329E-01   .1002E+00   .9759E+01   .9894E+00     .1789
   .0728   -.914E+00  -.3897E-01   .8513E-01   .6668E+01   .8240E+00     .1634
   .0669   -.989E+00  -.4644E-02   .7223E-01   .4547E+01   .6577E+00     .1492
   .0615   -.107E+01   .2968E-01   .6121E-01   .3096E+01   .4907E+00     .1362
   .0566   -.116E+01   .6400E-01   .5180E-01   .2105E+01   .3232E+00     .1242
   .0520   -.125E+01   .9832E-01   .4380E-01   .1429E+01   .1551E+00     .1133
   .0479   -.136E+01   .1326E+00   .3700E-01   .9698E+00  -.1332E-01     .1033
   .0441   -.147E+01   .1670E+00   .3124E-01   .6574E+00  -.1822E+00     .0941
   .0406   -.159E+01   .2013E+00   .2636E-01   .4454E+00  -.3513E+00     .0858
   .0374   -.172E+01   .2356E+00   .2223E-01   .3015E+00  -.5207E+00     .0782
   .0345   -.186E+01   .2699E+00   .1874E-01   .2040E+00  -.6903E+00     .0712
   .0319   -.201E+01   .3043E+00   .1579E-01   .1380E+00  -.8601E+00     .0648
   .0295   -.218E+01   .3386E+00   .1330E-01   .9332E-01  -.1030E+01     .0591
