


                               Node(655)                                           Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000    -35.718   .3323   20.000   .000E+00   .000E+00      -14.548   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.846   .3084   20.000   .000E+00   .000E+00      -22.267   .3685   20.000   .000E+00   .000E+00
       .001    -35.718   .3323   20.000   .000E+00   .000E+00      -14.548   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.846   .3084   20.000   .000E+00   .000E+00      -22.267   .3685   20.000   .000E+00   .000E+00
       .002    -35.718   .3323   20.000   .000E+00   .000E+00      -14.548   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.845   .3084   20.000   .000E+00   .000E+00      -22.266   .3685   20.000   .000E+00   .000E+00
       .004    -35.717   .3323   20.000   .000E+00   .000E+00      -14.547   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.845   .3084   20.000   .000E+00   .000E+00      -22.266   .3685   20.000   .000E+00   .000E+00
       .006    -35.717   .3323   20.000   .000E+00   .000E+00      -14.546   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.845   .3084   20.000   .000E+00   .000E+00      -22.265   .3686   20.000   .000E+00   .000E+00
       .009    -35.716   .3323   20.000   .000E+00   .000E+00      -14.545   .3928   20.000   .000E+00   .000E+00       45.004   .4300   20.000   .000E+00   .000E+00      -46.845   .3084   20.000   .000E+00   .000E+00      -22.264   .3686   20.000   .000E+00   .000E+00
       .012    -35.715   .3323   20.000   .000E+00   .000E+00      -14.544   .3928   20.000   .000E+00   .000E+00       45.005   .4300   20.000   .000E+00   .000E+00      -46.844   .3084   20.000   .000E+00   .000E+00      -22.263   .3686   20.000   .000E+00   .000E+00
       .016    -35.714   .3323   20.000   .000E+00   .000E+00      -14.543   .3928   20.000   .000E+00   .000E+00       45.005   .4300   20.000   .000E+00   .000E+00      -46.844   .3084   20.000   .000E+00   .000E+00      -22.262   .3686   20.000   .000E+00   .000E+00
       .019    -35.713   .3323   20.000   .000E+00   .000E+00      -14.542   .3928   20.000   .000E+00   .000E+00       45.005   .4300   20.000   .000E+00   .000E+00      -46.843   .3084   20.000   .000E+00   .000E+00      -22.261   .3686   20.000   .000E+00   .000E+00
       .023    -35.712   .3323   20.000   .000E+00   .000E+00      -14.541   .3929   20.000   .000E+00   .000E+00       45.005   .4300   20.000   .000E+00   .000E+00      -46.843   .3084   20.000   .000E+00   .000E+00      -22.260   .3686   20.000   .000E+00   .000E+00
