 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .3579   -.883E+01   .9461E+00   .1938E-02   .3657E+03   .2563E+01     .9766
   .3550   -.102E+02   .1010E+01   .2267E-02   .3359E+03   .2526E+01     .9679
   .3510   -.118E+02   .1073E+01   .2627E-02   .3028E+03   .2481E+01     .9561
   .3457   -.137E+02   .1137E+01   .3007E-02   .2666E+03   .2426E+01     .9405
   .3388   -.159E+02   .1201E+01   .3389E-02   .2282E+03   .2358E+01     .9199
   .3299   -.184E+02   .1264E+01   .3743E-02   .1889E+03   .2276E+01     .8934
   .3185   -.213E+02   .1328E+01   .4031E-02   .1503E+03   .2177E+01     .8599
   .3047   -.246E+02   .1392E+01   .4212E-02   .1143E+03   .2058E+01     .8187
   .2882   -.285E+02   .1455E+01   .4248E-02   .8265E+02   .1917E+01     .7697
   .2693   -.330E+02   .1519E+01   .4120E-02   .5667E+02   .1753E+01     .7137
   .2485   -.382E+02   .1583E+01   .3834E-02   .3679E+02   .1566E+01     .6521
   .2266   -.443E+02   .1646E+01   .3423E-02   .2265E+02   .1355E+01     .5871
   .2043   -.513E+02   .1710E+01   .2939E-02   .1327E+02   .1123E+01     .5212
   .1826   -.594E+02   .1774E+01   .2435E-02   .7438E+01   .8714E+00     .4568
   .1622   -.687E+02   .1837E+01   .1956E-02   .4016E+01   .6038E+00     .3961
   .1434   -.796E+02   .1901E+01   .1532E-02   .2102E+01   .3226E+00     .3403
   .1265   -.921E+02   .1964E+01   .1175E-02   .1074E+01   .3083E-01     .2903
   .1116   -.107E+03   .2028E+01   .8876E-03   .5379E+00  -.2693E+00     .2462
   .0987   -.124E+03   .2092E+01   .6620E-03   .2656E+00  -.5758E+00     .2079
   .0876   -.143E+03   .2155E+01   .4892E-03   .1297E+00  -.8871E+00     .1750
   .0781   -.166E+03   .2219E+01   .3590E-03   .6282E-01  -.1202E+01     .1469
   .0701   -.192E+03   .2283E+01   .2621E-03   .3024E-01  -.1519E+01     .1231
   .0633   -.222E+03   .2346E+01   .1907E-03   .1450E-01  -.1839E+01     .1030
   .0576   -.257E+03   .2410E+01   .1383E-03   .6926E-02  -.2160E+01     .0861
   .0529   -.298E+03   .2474E+01   .1002E-03   .3301E-02  -.2481E+01     .0720
   .0489   -.345E+03   .2537E+01   .7241E-04   .1571E-02  -.2804E+01     .0601
   .0455   -.399E+03   .2601E+01   .5229E-04   .7466E-03  -.3127E+01     .0502
   .0427   -.462E+03   .2665E+01   .3774E-04   .3545E-03  -.3450E+01     .0419
   .0404   -.535E+03   .2728E+01   .2722E-04   .1682E-03  -.3774E+01     .0349
   .0384   -.619E+03   .2792E+01   .1963E-04   .7980E-04  -.4098E+01     .0291
   .0368   -.717E+03   .2856E+01   .1415E-04   .3784E-04  -.4422E+01     .0243
   .0354   -.830E+03   .2919E+01   .1019E-04   .1794E-04  -.4746E+01     .0203
   .0343   -.961E+03   .2983E+01   .7346E-05   .8502E-05  -.5070E+01     .0169
   .0334   -.111E+04   .3046E+01   .5292E-05   .4029E-05  -.5395E+01     .0141
   .0326   -.129E+04   .3110E+01   .3813E-05   .1909E-05  -.5719E+01     .0118
   .0319   -.149E+04   .3174E+01   .2746E-05   .9048E-06  -.6043E+01     .0098
   .0314   -.173E+04   .3237E+01   .1978E-05   .4287E-06  -.6368E+01     .0082
   .0309   -.200E+04   .3301E+01   .1425E-05   .2031E-06  -.6692E+01     .0068
end
 
   .4686   -.100E-02  -.3000E+01   .6070E-05   .1289E+02   .1110E+01    1.0000
   .4686   -.116E-02  -.2936E+01   .6432E-05   .1288E+02   .1110E+01    1.0000
   .4686   -.134E-02  -.2873E+01   .6816E-05   .1286E+02   .1109E+01    1.0000
   .4686   -.155E-02  -.2809E+01   .7222E-05   .1285E+02   .1109E+01    1.0000
   .4686   -.180E-02  -.2745E+01   .7653E-05   .1283E+02   .1108E+01    1.0000
   .4686   -.208E-02  -.2682E+01   .8110E-05   .1282E+02   .1108E+01    1.0000
