


                               Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .026  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -85.978   .0792   20.000   .553E+00   .000E+00
       .028  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -79.680   .0837   20.000   .576E+00   .000E+00
       .029  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -74.411   .0881   20.000   .595E+00   .000E+00
       .031  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -69.861   .0925   20.000   .612E+00   .000E+00
       .033  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -65.032   .0978   20.000   .630E+00   .000E+00
       .036  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -60.694   .1031   20.000   .646E+00   .000E+00
       .038  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -57.345   .1082   20.000   .660E+00   .000E+00
       .040  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -54.115   .1131   20.000   .672E+00   .000E+00
       .043  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -51.604   .1177   20.000   .682E+00   .000E+00
       .045  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -49.413   .1222   20.000   .691E+00   .000E+00
       .047  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -47.288   .1266   20.000   .699E+00   .000E+00
       .050  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -44.983   .1319   20.000   .709E+00   .000E+00
       .054  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -43.108   .1369   20.000   .717E+00   .000E+00
       .057  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -41.305   .1417   20.000   .725E+00   .000E+00
       .060  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -39.638   .1462   20.000   .732E+00   .000E+00
       .063  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -38.413   .1504   20.000   .738E+00   .000E+00
       .066  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .245E-29   .000E+00      -37.263   .1543   20.000   .745E+00   .000E+00
       .069  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .104E-28   .000E+00      -36.201   .1580   20.000   .750E+00   .000E+00
       .072  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .370E-28   .000E+00      -35.180   .1615   20.000   .756E+00   .000E+00
       .075  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .128E-27   .000E+00      -34.253   .1648   20.000   .761E+00   .000E+00
       .078  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .454E-27   .000E+00      -33.539   .1679   20.000   .767E+00   .000E+00
       .081  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .167E-26   .000E+00      -32.876   .1707   20.000   .771E+00   .000E+00
       .084  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .634E-26   .000E+00      -32.260   .1734   20.000   .776E+00   .000E+00
       .087  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .247E-25   .000E+00      -31.668   .1761   20.000   .780E+00   .000E+00
       .091  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .152E-24   .000E+00      -30.949   .1791   20.000   .786E+00   .000E+00
       .095  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .696E-24   .000E+00      -30.308   .1818   20.000   .791E+00   .000E+00
       .099  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .262E-23   .000E+00      -29.690   .1845   20.000   .795E+00   .000E+00
       .103  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .917E-23   .000E+00      -29.211   .1869   20.000   .800E+00   .000E+00
       .106  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .326E-22   .000E+00      -28.809   .1891   20.000   .804E+00   .000E+00
       .110  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .122E-21   .000E+00      -28.433   .1912   20.000   .808E+00   .000E+00
