Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
   52     0    -74.5185             0   1       0        1        1        1          20            0 
   53     0    -82.6667             0   1       0        1        1        1          20            0 
   54     0         -90             0   1       0        1        1        1          20            0 
   55     0         -90             0   1       0        1        1        1          20            0 
   56     0         -90             0   1       0        1        1        1          20            0 
   57     0         -90             0   1       0        1        1        1          20            0 
   58     0         -90             0   1       0        1        1        1          20            0 
   59     0         -90             0   1       0        1        1        1          20            0 
   60     0         -90             0   1       0        1        1        1          20            0 
   61     0         -90             0   1       0        1        1        1          20            0 
   62     0      -86.86             0   1       0        1        1        1          20            0 
   63     0    -83.7522             0   1       0        1        1        1          20            0 
   64     0    -80.7087             0   1       0        1        1        1          20            0 
   65     0    -77.7618             0   1       0        1        1        1          20            0 
   66     0    -74.9436             0   1       0        1        1        1          20            0 
   67     0    -72.2864             0   1       0        1        1        1          20            0 
   68     0    -69.8222             0   1       0        1        1        1          20            0 
   69     0    -67.5761             0   1       0        1        1        1          20            0 
   70     1    -3.88036             0   1       0        1        1        1          20            0 
   71     1    -2.07008             0   1       0        1        1        1          20            0 
   72     1   -0.473068             0   1       0        1        1        1          20            0 
   73     1    0.913795             0   1       0        1        1        1          20            0 
   74     1     2.09364             0   1       0        1        1        1          20            0 
   75     1     3.06957             0   1       0        1        1        1          20            0 
   76     1     3.84473             0   1       0        1        1        1          20            0 
   77     1     4.42223             0   1       0        1        1        1          20            0 
   78     1      4.8052             0   1       0        1        1        1          20            0 
   79     1     4.99674             0   1       0        1        1        1          20            0 
   80     1           5             0   1       0        1        1        1          20            0 
   81     1     4.81809             0   1       0        1        1        1          20            0 
   82     1     4.45412             0   1       0        1        1        1          20            0 
   83     1     3.91124             0   1       0        1        1        1          20            0 
   84     1     3.19254             0   1       0        1        1        1          20            0 
   85     1     2.30117             0   1       0        1        1        1          20            0 
   86     1     1.24023             0   1       0        1        1        1          20            0 
   87     1   0.0128479             0   1       0        1        1        1          20            0 
   88     1    -1.37785             0   1       0        1        1        1          20            0 
   89     0    -64.5978             0   1       0        1        1        1          20            0 
   90     0    -66.3057             0   1       0        1        1        1          20            0 
   91     0    -68.1677             0   1       0        1        1        1          20            0 
   92     0    -70.1804             0   1       0        1        1        1          20            0 
   93     0    -72.3376             0   1       0        1        1        1          20            0 
   94     0    -74.6229             0   1       0        1        1        1          20            0 
   95     0     -77.018             0   1       0        1        1        1          20            0 
   96     0    -79.5046             0   1       0        1        1        1          20            0 
   97     0    -82.0644             0   1       0        1        1        1          20            0 
   98     0    -84.6791             0   1       0        1        1        1          20            0 
   99     0    -87.3304             0   1       0        1        1        1          20            0 
  100     0    -55.4998             0   1       0        1        1        1          20            0 
  101     0     -85.889             0   1       0        1        1        1          20            0 
  102     0    -80.3294             0   1       0        1        1        1          20            0 
  103     0    -84.4011             0   1       0        1        1        1          20            0 
  104     0    -76.5073             0   1       0        1        1        1          20            0 
  105     0    -81.8767             0   1       0        1        1        1          20            0 
  106     0    -79.5433             0   1       0        1        1        1          20            0 
  107     0    -67.7138             0   1       0        1        1        1          20            0 
  108     0    -78.7181             0   1       0        1        1        1          20            0 
  109     0    -77.0841             0   1       0        1        1        1          20            0 
  110     0    -72.3406             0   1       0        1        1        1          20            0 
  111     0    -22.0357             0   1       0        1        1        1          20            0 
  112     0    -2.49348             0   2       0        1        1        1          20            0 
  113     0    -5.92658             0   2       0        1        1        1          20            0 
  114     0      5.4221             0   2       0        1        1        1          20            0 
  115     0    -23.7425             0   1       0        1        1        1          20            0 
  116     0    -19.1801             0   1       0        1        1        1          20            0 
  117     0    -36.4993             0   1       0        1        1        1          20            0 
  118     0    -35.1388             0   1       0        1        1        1          20            0 
  119     0    -47.3578             0   1       0        1        1        1          20            0 
  120     0    -63.3103             0   1       0        1        1        1          20            0 
  121     0    -49.4417             0   1       0        1        1        1          20            0 
  122     0    -65.3387             0   1       0        1        1        1          20            0 
  123     0    -14.7676             0   1       0        1        1        1          20            0 
  124     0    -59.5221             0   1       0        1        1        1          20            0 
  125     0     -9.7888             0   1       0        1        1        1          20            0 
  126     0    -37.6153             0   1       0        1        1        1          20            0 
  127     0    -26.8347             0   1       0        1        1        1          20            0 
  128     0    -55.4835             0   1       0        1        1        1          20            0 
  129     0    -9.89964             0   1       0        1        1        1          20            0 
  130     0    -42.2814             0   1       0        1        1        1          20            0 
  131     0    -55.1615             0   1       0        1        1        1          20            0 
  132     0    -29.7376             0   1       0        1        1        1          20            0 
  133     0    -47.2893             0   1       0        1        1        1          20            0 
  134     0     -12.449             0   1       0        1        1        1          20            0 
  135     0    -31.5975             0   1       0        1        1        1          20            0 
  136     0    -15.3868             0   1       0        1        1        1          20            0 
  137     0    -46.2792             0   1       0        1        1        1          20            0 
  138     0    -15.0624             0   1       0        1        1        1          20            0 
  139     0    -31.4778             0   1       0        1        1        1          20            0 
  140     0      -12.73             0   1       0        1        1        1          20            0 
  141     0    -36.2156             0   1       0        1        1        1          20            0 
  142     0    -45.8102             0   1       0        1        1        1          20            0 
  143     0    -12.3928             0   1       0        1        1        1          20            0 
  144     0    -37.3353             0   1       0        1        1        1          20            0 
  145     0    -37.1522             0   1       0        1        1        1          20            0 
  146     0    -37.0198             0   1       0        1        1        1          20            0 
  147     0    -11.3779             0   1       0        1        1        1          20            0 
  148     0     -37.584             0   1       0        1        1        1          20            0 
  149     0    -37.6453             0   1       0        1        1        1          20            0 
  150     0    -12.9451             0   1       0        1        1        1          20            0 
  151     0    -36.9389             0   1       0        1        1        1          20            0 
  152     0    -47.0114             0   1       0        1        1        1          20            0 
  153     0    -15.4976             0   1       0        1        1        1          20            0 
  154     0    -32.2947             0   1       0        1        1        1          20            0 
  155     0    -15.9071             0   1       0        1        1        1          20            0 
  156     0    -47.4017             0   1       0        1        1        1          20            0 
  157     0    -14.9575             0   1       0        1        1        1          20            0 
  158     0    -32.0508             0   1       0        1        1        1          20            0 
  159     0    -7.37759             0   2       0        1        1        1          20            0 
  160     0    -48.2043             0   1       0        1        1        1          20            0 
  161     0    -29.8512             0   1       0        1        1        1          20            0 
  162     0    -26.9753             0   1       0        1        1        1          20            0 
  163     0    -56.7788             0   1       0        1        1        1          20            0 
  164     0    -43.2635             0   1       0        1        1        1          20            0 
  165     0    -57.8038             0   1       0        1        1        1          20            0 
  166     0    -44.4563             0   1       0        1        1        1          20            0 
  167     0    -27.5608             0   1       0        1        1        1          20            0 
  168     0    -9.18498             0   1       0        1        1        1          20            0 
  169     0    -10.4379             0   1       0        1        1        1          20            0 
  170     0     8.78621             0   2       0        1        1        1          20            0 
  171     0    -30.7651             0   1       0        1        1        1          20            0 
  172     0     -71.651             0   1       0        1        1        1          20            0 
  173     0    -42.8842             0   1       0        1        1        1          20            0 
  174     0    -61.7226             0   1       0        1        1        1          20            0 
  175     0    -12.4861             0   1       0        1        1        1          20            0 
  176     0    -51.1411             0   1       0        1        1        1          20            0 
  177     0    -36.5344             0   1       0        1        1        1          20            0 
  178     0    -67.4024             0   1       0        1        1        1          20            0 
  179     0    -50.9234             0   1       0        1        1        1          20            0 
  180     0    -66.8065             0   1       0        1        1        1          20            0 
  181     0    -57.6957             0   1       0        1        1        1          20            0 
  182     0    -78.2941             0   1       0        1        1        1          20            0 
  183     0    -58.6912             0   1       0        1        1        1          20            0 
  184     0    -68.8856             0   1       0        1        1        1          20            0 
  185     0    -78.5061             0   1       0        1        1        1          20            0 
  186     0    -73.0826             0   1       0        1        1        1          20            0 
  187     0    -80.4759             0   1       0        1        1        1          20            0 
  188     0     -85.319             0   1       0        1        1        1          20            0 
  189     0    -84.1755             0   1       0        1        1        1          20            0 
  190     0    -78.9714             0   1       0        1        1        1          20            0 
  191     0    -84.1319             0   1       0        1        1        1          20            0 
  192     0    -77.0479             0   1       0        1        1        1          20            0 
  193     0     -46.613             0   1       0        1        1        1          20            0 
  194     0    -67.9871             0   1       0        1        1        1          20            0 
  195     0    -83.7179             0   1       0        1        1        1          20            0 
  196     0    -58.7002             0   1       0        1        1        1          20            0 
  197     0    -85.1371             0   1       0        1        1        1          20            0 
  198     0     -64.486             0   1       0        1        1        1          20            0 
  199     0    -83.4978             0   1       0        1        1        1          20            0 
  200     0      4.8305             0   2       0        1        1        1          20            0 
  201     0     6.69768             0   2       0        1        1        1          20            0 
  202     0    -19.4767             0   1       0        1        1        1          20            0 
  203     0    -8.72626             0   1       0        1        1        1          20            0 
  204     0     -24.905             0   1       0        1        1        1          20            0 
