 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Tension Permeameter - Rafael Angulo - Sahel Data                      *
 *Cumulative infiltration - final water content                         *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb)............. 223


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .010
 SATURATED MOISTURE CONTENT..........(WCS)............      .280
 FIRST COEFFICIENT...................(ALPHA)..........      .070
 SECOND COEFFICIENT..................(N)..............     1.900
 SATURATED CONDUCTIVITY..............(CONDS).......... .3000E-02
 PORE CONECTIVITY FACTOR.............(L)..............      .500


 Observed QUANTITY 
 ==================
    Obs     Time    QUANTITY     Type  Position   Weight
   130   4740.000  -6643.840       0     3       .000022
   131   4755.000  -6677.630       0     3       .000022
   132   4770.000  -6712.480       0     3       .000022
   133   4785.000  -6746.270       0     3       .000022
   134   4800.000  -6779.000       0     3       .000022
   135   4815.000  -6814.900       0     3       .000022
   136   4830.000  -6845.520       0     3       .000022
   137   4845.000  -6880.370       0     3       .000022
   138   4860.000  -6914.160       0     3       .000022
   139   4875.000  -6946.890       0     3       .000022
   140   4905.000  -7016.580       0     3       .000022
   141   4920.000  -7049.310       0     3       .000022
   142   4935.000  -7084.160       0     3       .000022
   143   4950.000  -7117.950       0     3       .000022
   144   4965.000  -7151.740       0     3       .000022
   145   4980.000  -7185.530       0     3       .000022
   146   4995.000  -7219.320       0     3       .000022
   147   5010.000  -7252.050       0     3       .000022
   148   5025.000  -7287.950       0     3       .000022
   149   5040.000  -7320.690       0     3       .000022
   150   5055.000  -7354.470       0     3       .000022
   151   5070.000  -7387.210       0     3       .000022
   152   5085.000  -7419.940       0     3       .000022
   153   5100.000  -7452.680       0     3       .000022
   154   5115.000  -7485.410       0     3       .000022
   155   5295.000  -7485.410       0     3       .000022
   156   5305.000  -7548.760       0     3       .000022
   157   5315.000  -7595.220       0     3       .000022
   158   5325.000  -7633.240       0     3       .000022
   159   5335.000  -7664.910       0     3       .000022
   160   5345.000  -7698.700       0     3       .000022
   161   5355.000  -7728.270       0     3       .000022
   162   5370.000  -7778.950       0     3       .000022
   163   5385.000  -7823.300       0     3       .000022
   164   5400.000  -7867.650       0     3       .000022
   165   5415.000  -7909.890       0     3       .000022
   166   5430.000  -7952.120       0     3       .000022
   167   5445.000  -7992.250       0     3       .000022
   168   5475.000  -8074.610       0     3       .000022
   169   5490.000  -8116.850       0     3       .000022
   170   5505.000  -8156.970       0     3       .000022
   171   5520.000  -8192.870       0     3       .000022
   172   5535.000  -8235.110       0     3       .000022
   173   5550.000  -8277.350       0     3       .000022
   174   5565.000  -8313.250       0     3       .000022
   175   5580.000  -8355.490       0     3       .000022
   176   5595.000  -8396.670       0     3       .000022
   177   5610.000  -8435.740       0     3       .000022
   178   5625.000  -8473.750       0     3       .000022
   179   5640.000  -8513.870       0     3       .000022
   180   5655.000  -8555.050       0     3       .000022
   181   5685.000  -8636.360       0     3       .000022
   182   5700.000  -8670.150       0     3       .000022
   183   5715.000  -8699.720       0     3       .000022
   184   5730.000  -8748.290       0     3       .000022
   185   5745.000  -8787.360       0     3       .000022
   186   5760.000  -8825.370       0     3       .000022
   187   5775.000  -8868.660       0     3       .000022
   188   5790.000  -8906.680       0     3       .000022
   189   5805.000  -8942.580       0     3       .000022
   190   5820.000  -8980.590       0     3       .000022
   191   5835.000  -9016.490       0     3       .000022
   192   6015.000  -9016.490       0     3       .000022
   193   6025.000  -9100.960       0     3       .000022
   194   6035.000  -9153.760       0     3       .000022
   195   6045.000  -9198.110       0     3       .000022
   196   6055.000  -9240.350       0     3       .000022
   197   6065.000  -9282.580       0     3       .000022
   198   6075.000  -9314.260       0     3       .000022
   199   6090.000  -9375.500       0     3       .000022
   200   6105.000  -9430.410       0     3       .000022
   201   6120.000  -9481.100       0     3       .000022
   202   6135.000  -9531.780       0     3       .000022
   203   6150.000  -9580.350       0     3       .000022
   204   6165.000  -9633.150       0     3       .000022
   205   6180.000  -9683.830       0     3       .000022
   206   6195.000  -9734.520       0     3       .000022
   207   6210.000  -9783.090       0     3       .000022
   208   6225.000  -9833.770       0     3       .000022
   209   6240.000  -9882.340       0     3       .000022
   210   6255.000  -9933.030       0     3       .000022
   211   6270.000  -9979.490       0     3       .000022
   212   6285.000 -10028.100       0     3       .000022
   213   6300.000 -10078.700       0     3       .000022
   214   6315.000 -10123.100       0     3       .000022
   215   6330.000 -10171.700       0     3       .000022
   216   6345.000 -10207.600       0     3       .000022
   217   6360.000 -10270.900       0     3       .000022
   218   6375.000 -10319.500       0     3       .000022
   219   6390.000 -10370.200       0     3       .000022
   220   6405.000 -10414.500       0     3       .000022
   221   6435.000 -10509.600       0     3       .000022
   222   6450.000 -10562.400       0     3       .000022
   223      -.100       .275       5     1     10.000000



 Parameter estimation with the  1. initial estimate
 ==================================================

 ITERATION     SSQ        WCS        ALPHA      N          CONDS 
      0    .1106D+01     .28000     .07000    1.90000     .00300
      1    .5606D+00     .27698     .04396    2.13995     .00366
      2    .1643D-01     .27542     .04046    1.96569     .00276
      3    .2003D-02     .27509     .02932    1.89968     .00192
      4    .1821D-02     .27499     .02738    1.97307     .00163
      5    .1173D-02     .27499     .02776    2.04580     .00157
      6    .1136D-02     .27499     .02811    2.10062     .00153
      7    .1127D-02     .27500     .02848    2.14605     .00151
      8    .1121D-02     .27500     .02870    2.18515     .00148
      9    .1119D-02     .27500     .02893    2.21698     .00146
     10    .1118D-02     .27499     .02908    2.24221     .00145
     11    .1118D-02     .27500     .02915    2.25383     .00144


 MASS BALANCE ERROR IN FE SOLUTION DURING FINAL RUN WAS   .1024 %


 CORRELATION MATRIX
 ==================
         1          2          3          4
   1   1.0000
   2    .0234     1.0000
   3    .0120      .9671     1.0000
   4   -.0075     -.9006     -.9814     1.0000

 NON-LINEAR LEAST-SQUARES ANALYSIS: FINAL RESULTS
 ================================================
                                           95% CONFIDENCE LIMITS
 VARIABLE        VALUE        S.E.COEFF.     LOWER         UPPER
   WCS          .274996         .00023       .27455       .27544
   ALPHA        .029151         .00097       .02723       .03107
   N           2.253828         .14570      1.96668      2.54098
   CONDS        .001440         .00008       .00128       .00160

 RSQUARE FOR REGRESSION OF PREDICTED VS OBSERVED = .99974


 Contributions to the final objective function

 Measurement Set   0:    .1118E-02
 Measurement Set   5:    .1643E-08


------------OBSERVED & FITTED QUANTITY -----------------------------
                                               RESI-
    NO      TIME          OBS        FITTED    DUAL   TYPE  POSITION
    1    15.000       -44.349     -101.748   57.399     0     3
    2    30.000       -90.809     -147.386   56.577     0     3
    3    45.000      -137.269     -185.807   48.538     0     3
    4    60.000      -173.171     -219.382   46.211     0     3
    5    75.000      -209.072     -250.152   41.080     0     3
    6    90.000      -238.638     -278.744   40.106     0     3
    7   105.000      -268.203     -306.039   37.836     0     3
    8   120.000      -293.545     -332.277   38.732     0     3
    9   150.000      -346.341     -382.162   35.821     0     3
   10   180.000      -397.025     -429.539   32.514     0     3
   11   210.000      -447.710     -474.962   27.252     0     3
   12   240.000      -496.282     -518.635   22.353     0     3
   13   270.000      -544.854     -561.192   16.338     0     3
   14   300.000      -593.426     -602.844    9.418     0     3
   15   330.000      -638.831     -643.662    4.831     0     3
   16   360.000      -686.347     -683.766   -2.581     0     3
   17   390.000      -795.107     -723.246  -71.861     0     3
   18   420.000      -776.100     -762.179  -13.921     0     3
   19   450.000      -820.449     -800.626  -19.823     0     3
   20   480.000      -865.853     -838.644  -27.209     0     3
   21   510.000      -910.202     -876.276  -33.926     0     3
   22   540.000      -954.551     -913.557  -40.994     0     3
   23   570.000      -997.843     -950.519  -47.324     0     3
   24   600.000     -1043.250     -987.186  -56.064     0     3
   25   630.000     -1084.430    -1023.583  -60.847     0     3
   26   660.000     -1125.610    -1059.691  -65.919     0     3
   27   690.000     -1173.130    -1095.560  -77.570     0     3
   28   720.000     -1215.360    -1131.231  -84.129     0     3
   29   780.000     -1300.890    -1202.007  -98.883     0     3
   30   840.000     -1388.530    -1272.043 -116.487     0     3
   31  1080.000     -1388.530    -1546.477  157.947     0     3
   32  1110.000     -1442.390    -1580.244  137.854     0     3
   33  1140.000     -1485.680    -1613.885  128.205     0     3
   34  1170.000     -1527.910    -1647.426  119.516     0     3
   35  1200.000     -1565.930    -1680.878  114.948     0     3
   36  1230.000     -1606.050    -1714.246  108.196     0     3
   37  1260.000     -1645.120    -1747.535  102.415     0     3
   38  1290.000     -1684.190    -1780.749   96.559     0     3
   39  1320.000     -1722.200    -1813.892   91.692     0     3
   40  1380.000     -1798.230    -1880.067   81.837     0     3
   41  1440.000     -1874.260    -1946.033   71.773     0     3
   42  1500.000     -1951.340    -2011.548   60.208     0     3
   43  1560.000     -2029.480    -2076.754   47.274     0     3
   44  1620.000     -2105.500    -2141.742   36.242     0     3
   45  1680.000     -2181.530    -2206.542   25.011     0     3
   46  1740.000     -2258.610    -2271.169   12.559     0     3
   47  1800.000     -2335.690    -2335.637    -.053     0     3
   48  1860.000     -2412.770    -2399.955  -12.815     0     3
   49  1920.000     -2493.020    -2464.134  -28.886     0     3
