

  TLevel   Time         dt      Iter  ItCum
   152  .31500E+04  .60000E+02    2    368
   153  .32100E+04  .60000E+02    2    370
   154  .32250E+04  .15000E+02    2    372
   155  .32700E+04  .45000E+02    2    374
   156  .33300E+04  .60000E+02    2    376
   157  .33301E+04  .10000E+00    2    378
   158  .33302E+04  .12999E+00    2    380
   159  .33304E+04  .16896E+00    2    382
   160  .33306E+04  .21983E+00    2    384
   161  .33309E+04  .28564E+00    2    386
   162  .33313E+04  .37157E+00    2    388
   163  .33318E+04  .48304E+00    2    390
   164  .33324E+04  .62761E+00    2    392
   165  .33332E+04  .81474E+00    2    394
   166  .33343E+04  .10587E+01    2    396
   167  .33356E+04  .13838E+01    2    398
   168  .33374E+04  .17975E+01    2    400
   169  .33398E+04  .23319E+01    2    402
   170  .33428E+04  .30398E+01    2    404
   171  .33468E+04  .39806E+01    2    406
   172  .33519E+04  .51002E+01    2    408
   173  .33585E+04  .65878E+01    2    410
   174  .33669E+04  .84177E+01    2    412
   175  .33779E+04  .11008E+02    2    414
   176  .33926E+04  .14677E+02    2    416
   177  .34122E+04  .19569E+02    2    418
   178  .34366E+04  .24462E+02    2    420
   179  .34733E+04  .36693E+02    2    422
   180  .35100E+04  .36692E+02    2    424
   181  .35200E+04  .10000E+02    2    426
   182  .35300E+04  .10000E+02    2    428
   183  .35400E+04  .10000E+02    2    430
   184  .35500E+04  .10000E+02    2    432
   185  .35600E+04  .10000E+02    2    434
   186  .35700E+04  .10000E+02    2    436
   187  .35850E+04  .15000E+02    2    438
   188  .36000E+04  .15000E+02    2    440
   189  .36150E+04  .15000E+02    2    442
   190  .36300E+04  .15000E+02    2    444
   191  .36600E+04  .30000E+02    2    446
   192  .36900E+04  .30000E+02    2    448
   193  .37200E+04  .30000E+02    2    450
   194  .37650E+04  .45000E+02    2    452
   195  .38100E+04  .45000E+02    2    454
   196  .38700E+04  .60000E+02    2    456
   197  .39300E+04  .60000E+02    2    458
   198  .39900E+04  .60000E+02    2    460
   199  .40200E+04  .30000E+02    2    462
   200  .40500E+04  .30000E+02    2    464
   201  .40800E+04  .30000E+02    2    466
   202  .41100E+04  .30000E+02    2    468
   203  .41400E+04  .30000E+02    2    470
   204  .41700E+04  .30000E+02    2    472
   205  .42000E+04  .30000E+02    2    474
   206  .42300E+04  .30000E+02    2    476
   207  .42600E+04  .30000E+02    2    478
   208  .42900E+04  .30000E+02    2    480
   209  .42901E+04  .10000E+00    2    482
   210  .42902E+04  .12999E+00    2    484
   211  .42904E+04  .16896E+00    2    486
   212  .42906E+04  .21983E+00    2    488
   213  .42909E+04  .28564E+00    2    490
   214  .42913E+04  .37157E+00    2    492
   215  .42918E+04  .48304E+00    2    494
   216  .42924E+04  .62761E+00    2    496
   217  .42932E+04  .81474E+00    2    498
   218  .42943E+04  .10587E+01    2    500
   219  .42956E+04  .13838E+01    2    502
   220  .42974E+04  .17975E+01    2    504
   221  .42998E+04  .23319E+01    2    506
   222  .43028E+04  .30398E+01    2    508
   223  .43068E+04  .39807E+01    2    510
   224  .43119E+04  .51002E+01    2    512
   225  .43185E+04  .65878E+01    2    514
   226  .43269E+04  .84177E+01    2    516
   227  .43379E+04  .11008E+02    2    518
   228  .43526E+04  .14677E+02    2    520
   229  .43722E+04  .19569E+02    2    522
   230  .43966E+04  .24462E+02    2    524
   231  .44333E+04  .36693E+02    2    526
   232  .44700E+04  .36692E+02    2    528
   233  .44800E+04  .10000E+02    2    530
   234  .44900E+04  .10000E+02    2    532
   235  .45000E+04  .10000E+02    2    534
   236  .45100E+04  .10000E+02    2    536
   237  .45150E+04  .50000E+01    2    538
   238  .45200E+04  .50000E+01    2    540
   239  .45300E+04  .10000E+02    2    542
   240  .45450E+04  .15000E+02    2    544
   241  .45600E+04  .15000E+02    2    546
   242  .45750E+04  .15000E+02    2    548
   243  .45900E+04  .15000E+02    2    550
   244  .46050E+04  .15000E+02    2    552
   245  .46200E+04  .15000E+02    2    554
   246  .46350E+04  .15000E+02    2    556
   247  .46500E+04  .15000E+02    2    558
   248  .46650E+04  .15000E+02    2    560
   249  .46800E+04  .15000E+02    2    562
   250  .46950E+04  .15000E+02    2    564
   251  .47100E+04  .15000E+02    2    566
   252  .47250E+04  .15000E+02    2    568
   253  .47400E+04  .15000E+02    2    570
   254  .47550E+04  .15000E+02    2    572
   255  .47700E+04  .15000E+02    2    574
   256  .47850E+04  .15000E+02    2    576
   257  .48000E+04  .15000E+02    2    578
   258  .48150E+04  .15000E+02    2    580
   259  .48300E+04  .15000E+02    2    582
   260  .48450E+04  .15000E+02    2    584
   261  .48600E+04  .15000E+02    2    586
   262  .48750E+04  .15000E+02    2    588
   263  .49050E+04  .30000E+02    2    590
   264  .49200E+04  .15000E+02    2    592
   265  .49350E+04  .15000E+02    2    594
   266  .49500E+04  .15000E+02    2    596
   267  .49650E+04  .15000E+02    2    598
   268  .49800E+04  .15000E+02    2    600
   269  .49950E+04  .15000E+02    2    602
   270  .50100E+04  .15000E+02    2    604
   271  .50250E+04  .15000E+02    2    606
   272  .50400E+04  .15000E+02    2    608
   273  .50550E+04  .15000E+02    2    610
   274  .50700E+04  .15000E+02    2    612
   275  .50850E+04  .15000E+02    2    614
   276  .51000E+04  .15000E+02    2    616
   277  .51150E+04  .15000E+02    2    618
   278  .51151E+04  .10000E+00    2    620
   279  .51152E+04  .13014E+00    2    622
   280  .51154E+04  .16894E+00    2    624
   281  .51156E+04  .21971E+00    2    626
   282  .51159E+04  .28633E+00    2    628
   283  .51163E+04  .37054E+00    2    630
   284  .51168E+04  .48048E+00    2    632
   285  .51174E+04  .62672E+00    2    634
   286  .51182E+04  .81955E+00    2    636
   287  .51193E+04  .10717E+01    2    638
   288  .51206E+04  .13575E+01    2    640
   289  .51224E+04  .17895E+01    2    642
   290  .51248E+04  .23487E+01    2    644
   291  .51277E+04  .29358E+01    2    646
   292  .51317E+04  .40367E+01    2    648
   293  .51365E+04  .47096E+01    2    650
   294  .51423E+04  .58870E+01    2    652
   295  .51512E+04  .88306E+01    2    654
   296  .51600E+04  .88306E+01    2    656
   297  .51713E+04  .11250E+02    2    658
   298  .51867E+04  .15469E+02    2    660
   299  .52048E+04  .18047E+02    2    662
   300  .52273E+04  .22559E+02    2    664
   301  .52612E+04  .33838E+02    2    666
   302  .52950E+04  .33838E+02    2    668
   303  .53050E+04  .10000E+02    2    670
   304  .53150E+04  .10000E+02    2    672
   305  .53250E+04  .10000E+02    2    674
   306  .53350E+04  .10000E+02    2    676
   307  .53450E+04  .10000E+02    2    678
   308  .53550E+04  .10000E+02    2    680
   309  .53700E+04  .15000E+02    2    682
   310  .53850E+04  .15000E+02    2    684
   311  .54000E+04  .15000E+02    2    686
   312  .54150E+04  .15000E+02    2    688
   313  .54300E+04  .15000E+02    2    690
   314  .54450E+04  .15000E+02    2    692
   315  .54750E+04  .30000E+02    2    694
   316  .54900E+04  .15000E+02    2    696
   317  .55050E+04  .15000E+02    2    698
   318  .55200E+04  .15000E+02    2    700
   319  .55350E+04  .15000E+02    2    702
   320  .55500E+04  .15000E+02    2    704
   321  .55650E+04  .15000E+02    2    706
   322  .55800E+04  .15000E+02    2    708
   323  .55950E+04  .15000E+02    2    710
   324  .56100E+04  .15000E+02    2    712
   325  .56250E+04  .15000E+02    2    714
   326  .56400E+04  .15000E+02    2    716
   327  .56550E+04  .15000E+02    2    718
   328  .56850E+04  .30000E+02    2    720
   329  .57000E+04  .15000E+02    2    722
   330  .57150E+04  .15000E+02    2    724
   331  .57300E+04  .15000E+02    2    726
   332  .57450E+04  .15000E+02    2    728
   333  .57600E+04  .15000E+02    2    730
   334  .57750E+04  .15000E+02    2    732
   335  .57900E+04  .15000E+02    2    734
   336  .58050E+04  .15000E+02    2    736
   337  .58200E+04  .15000E+02    2    738
   338  .58350E+04  .15000E+02    2    740
   339  .58351E+04  .10000E+00    2    742
   340  .58352E+04  .12999E+00    2    744
   341  .58354E+04  .16896E+00    2    746
   342  .58356E+04  .21983E+00    2    748
   343  .58359E+04  .28564E+00    2    750
   344  .58363E+04  .37157E+00    2    752
   345  .58368E+04  .48304E+00    2    754
   346  .58374E+04  .62761E+00    2    756
   347  .58382E+04  .81474E+00    2    758
   348  .58393E+04  .10587E+01    2    760
   349  .58406E+04  .13838E+01    2    762
   350  .58424E+04  .17975E+01    2    764
   351  .58448E+04  .23319E+01    2    766
   352  .58478E+04  .30398E+01    2    768
   353  .58518E+04  .39807E+01    2    770
   354  .58569E+04  .51002E+01    2    772
   355  .58635E+04  .65878E+01    2    774
   356  .58719E+04  .84177E+01    2    776
   357  .58829E+04  .11008E+02    2    778
   358  .58976E+04  .14677E+02    2    780
   359  .59172E+04  .19569E+02    2    782
   360  .59416E+04  .24462E+02    2    784
   361  .59783E+04  .36693E+02    2    786
   362  .60150E+04  .36692E+02    2    788
   363  .60250E+04  .10000E+02    2    790
   364  .60350E+04  .10000E+02    2    792
   365  .60450E+04  .10000E+02    2    794
   366  .60550E+04  .10000E+02    2    796
   367  .60650E+04  .10000E+02    2    798
   368  .60750E+04  .10000E+02    2    800
   369  .60900E+04  .15000E+02    2    802
   370  .61050E+04  .15000E+02    2    804
   371  .61200E+04  .15000E+02    2    806
   372  .61350E+04  .15000E+02    2    808
   373  .61500E+04  .15000E+02    2    810
   374  .61650E+04  .15000E+02    2    812
   375  .61800E+04  .15000E+02    2    814
   376  .61950E+04  .15000E+02    2    816
   377  .62100E+04  .15000E+02    2    818
   378  .62250E+04  .15000E+02    2    820
   379  .62400E+04  .15000E+02    2    822
   380  .62550E+04  .15000E+02    2    824
   381  .62700E+04  .15000E+02    2    826
   382  .62850E+04  .15000E+02    2    828
   383  .63000E+04  .15000E+02    2    830
   384  .63150E+04  .15000E+02    2    832
   385  .63300E+04  .15000E+02    2    834
   386  .63450E+04  .15000E+02    2    836
   387  .63600E+04  .15000E+02    2    838
   388  .63750E+04  .15000E+02    2    840
   389  .63900E+04  .15000E+02    2    842
   390  .64050E+04  .15000E+02    2    844
   391  .64350E+04  .30000E+02    2    846
   392  .64500E+04  .15000E+02    2    848
end
 
 Real time [sec]      45.000000
