 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  15:54:45
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .00100



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     Qa     Qk       Kk

    1     .000  1.000    .150E+01    .120E+01    .500E+00   .500  1.000   .000  1.000    .500E+00

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .9987   -.115E-01  -.1939E+01   .1320E+00   .1561E+00  -.8065E+00     .9987
   .9983   -.145E-01  -.1838E+01   .1379E+00   .1446E+00  -.8399E+00     .9983
   .9978   -.183E-01  -.1737E+01   .1439E+00   .1330E+00  -.8761E+00     .9978
   .9971   -.231E-01  -.1636E+01   .1500E+00   .1214E+00  -.9157E+00     .9971
   .9962   -.292E-01  -.1535E+01   .1562E+00   .1099E+00  -.9589E+00     .9962
   .9949   -.368E-01  -.1434E+01   .1622E+00   .9855E-01  -.1006E+01     .9949
   .9933   -.464E-01  -.1333E+01   .1680E+00   .8741E-01  -.1058E+01     .9933
   .9913   -.586E-01  -.1232E+01   .1735E+00   .7658E-01  -.1116E+01     .9913
   .9886   -.739E-01  -.1131E+01   .1783E+00   .6616E-01  -.1179E+01     .9886
   .9851   -.933E-01  -.1030E+01   .1822E+00   .5627E-01  -.1250E+01     .9851
   .9806   -.118E+00  -.9293E+00   .1849E+00   .4701E-01  -.1328E+01     .9806
   .9749   -.148E+00  -.8283E+00   .1859E+00   .3849E-01  -.1415E+01     .9749
   .9677   -.187E+00  -.7273E+00   .1849E+00   .3082E-01  -.1511E+01     .9677
   .9587   -.236E+00  -.6263E+00   .1814E+00   .2408E-01  -.1618E+01     .9587
   .9476   -.298E+00  -.5253E+00   .1753E+00   .1831E-01  -.1737E+01     .9476
   .9343   -.376E+00  -.4242E+00   .1663E+00   .1353E-01  -.1869E+01     .9343
   .9185   -.475E+00  -.3232E+00   .1546E+00   .9707E-02  -.2013E+01     .9185
   .9001   -.599E+00  -.2222E+00   .1406E+00   .6754E-02  -.2170E+01     .9001
   .8793   -.756E+00  -.1212E+00   .1250E+00   .4560E-02  -.2341E+01     .8793
   .8562   -.955E+00  -.2020E-01   .1087E+00   .2992E-02  -.2524E+01     .8562
