         55.0    443526.3      9694.2      2143.4       834.4       422.7       248.2       158.4       102.6        64.8        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0        55.0
         60.0    443531.3      9699.2      2148.4       839.4       427.7       253.2       163.4       107.6        69.8        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0        60.0
         65.0    443536.3      9704.2      2153.4       844.4       432.7       258.2       168.4       112.6        74.8        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0        65.0
         70.0    443541.3      9709.2      2158.4       849.4       437.7       263.2       173.4       117.6        79.8        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0        70.0
         75.0    443546.3      9714.2      2163.4       854.4       442.7       268.2       178.4       122.6        84.8        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0        75.0
         80.0    443551.3      9719.2      2168.4       859.4       447.7       273.2       183.4       127.6        89.8        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0        80.0
         85.0    443556.3      9724.2      2173.4       864.4       452.7       278.2       188.4       132.6        94.8        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0        85.0
         90.0    443561.3      9729.2      2178.4       869.4       457.7       283.2       193.4       137.6        99.8        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0        90.0
         95.0    443566.3      9734.2      2183.4       874.4       462.7       288.2       198.4       142.6       104.8        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0        95.0
        100.0    443571.3      9739.2      2188.4       879.4       467.7       293.2       203.4       147.6       109.8       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0       100.0
