


                       Node(655)                     Node(***)                     Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .000   -122.892   .2260   20.000     -111.389   .2338   20.000       37.794   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .001   -122.892   .2260   20.000     -111.389   .2338   20.000       38.048   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .002   -122.892   .2260   20.000     -111.389   .2338   20.000       38.058   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .003   -122.892   .2260   20.000     -111.389   .2338   20.000       38.069   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .004   -122.892   .2260   20.000     -111.389   .2338   20.000       38.081   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .005   -122.892   .2260   20.000     -111.389   .2338   20.000       38.095   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .007   -122.892   .2260   20.000     -111.389   .2338   20.000       38.106   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .008   -122.892   .2260   20.000     -111.389   .2338   20.000       38.117   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .010   -122.892   .2260   20.000     -111.389   .2338   20.000       38.126   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .011   -122.892   .2260   20.000     -111.389   .2338   20.000       38.134   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .013   -122.892   .2260   20.000     -111.389   .2338   20.000       38.143   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .016   -122.892   .2260   20.000     -111.389   .2338   20.000       38.154   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .019   -122.892   .2260   20.000     -111.389   .2338   20.000       38.165   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .023   -122.892   .2260   20.000     -111.389   .2338   20.000       38.176   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .026   -122.892   .2260   20.000     -111.389   .2338   20.000       38.185   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .030   -122.892   .2260   20.000     -111.389   .2338   20.000       38.194   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .033   -122.892   .2260   20.000     -111.389   .2338   20.000       38.202   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .036   -122.892   .2260   20.000     -111.389   .2338   20.000       38.209   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .041   -122.892   .2260   20.000     -111.389   .2338   20.000       38.218   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .046   -122.892   .2260   20.000     -111.389   .2338   20.000       38.228   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .054   -122.892   .2260   20.000     -111.389   .2338   20.000       38.240   .4300   20.000     -116.211   .2305   20.000      -57.390   .2903   20.000
       .061   -122.892   .2260   20.000     -111.389   .2338   20.000       38.251   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .069   -122.892   .2260   20.000     -111.389   .2338   20.000       38.261   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .076   -122.892   .2260   20.000     -111.389   .2338   20.000       38.270   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .086   -122.892   .2260   20.000     -111.389   .2338   20.000       38.281   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .098   -122.892   .2260   20.000     -111.389   .2338   20.000       38.293   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .111   -122.892   .2260   20.000     -111.389   .2338   20.000       38.305   .4300   20.000     -116.211   .2305   20.000      -57.391   .2903   20.000
       .124   -122.892   .2260   20.000     -111.389   .2338   20.000       38.315   .4300   20.000     -116.211   .2305   20.000      -57.392   .2903   20.000
       .136   -122.892   .2260   20.000     -111.389   .2338   20.000       38.326   .4300   20.000     -116.211   .2305   20.000      -57.393   .2903   20.000
       .153   -122.892   .2260   20.000     -111.389   .2338   20.000       38.338   .4300   20.000     -116.211   .2305   20.000      -57.394   .2903   20.000
       .174   -122.892   .2260   20.000     -111.389   .2338   20.000       38.353   .4300   20.000     -116.211   .2305   20.000      -57.396   .2903   20.000
       .196   -122.892   .2260   20.000     -111.389   .2338   20.000       38.367   .4300   20.000     -116.211   .2305   20.000      -57.398   .2903   20.000
       .224   -122.892   .2260   20.000     -111.389   .2338   20.000       38.384   .4300   20.000     -116.211   .2305   20.000      -57.403   .2903   20.000
       .251   -122.892   .2260   20.000     -111.389   .2338   20.000       38.399   .4300   20.000     -116.211   .2305   20.000      -57.408   .2903   20.000
       .279   -122.892   .2260   20.000     -111.389   .2338   20.000       38.415   .4300   20.000     -116.211   .2305   20.000      -57.415   .2903   20.000
       .307   -122.892   .2260   20.000     -111.389   .2338   20.000       38.429   .4300   20.000     -116.211   .2305   20.000      -57.423   .2903   20.000
       .334   -122.892   .2260   20.000     -111.389   .2338   20.000       38.443   .4300   20.000     -116.211   .2305   20.000      -57.432   .2902   20.000
       .367   -122.892   .2260   20.000     -111.389   .2338   20.000       38.460   .4300   20.000     -116.211   .2305   20.000      -57.446   .2902   20.000
       .412   -122.892   .2260   20.000     -111.389   .2338   20.000       38.481   .4300   20.000     -116.211   .2305   20.000      -57.467   .2902   20.000
       .500   -122.892   .2260   20.000     -111.389   .2338   20.000       38.521   .4300   20.000     -116.211   .2305   20.000      -57.523   .2901   20.000
       .563   -122.892   .2260   20.000     -111.389   .2338   20.000       38.548   .4300   20.000     -116.211   .2305   20.000      -57.569   .2900   20.000
       .635   -122.892   .2260   20.000     -111.389   .2338   20.000       38.579   .4300   20.000     -116.211   .2305   20.000      -57.631   .2899   20.000
       .727   -122.892   .2260   20.000     -111.389   .2338   20.000       38.617   .4300   20.000     -116.211   .2305   20.000      -57.719   .2898   20.000
       .818   -122.892   .2260   20.000     -111.389   .2338   20.000       38.653   .4300   20.000     -116.211   .2305   20.000      -57.817   .2896   20.000
      1.000   -122.892   .2260   20.000     -111.389   .2338   20.000       38.723   .4300   20.000     -116.211   .2305   20.000      -58.037   .2893   20.000
      1.132   -122.892   .2260   20.000     -111.389   .2338   20.000       38.771   .4300   20.000     -116.211   .2305   20.000      -58.209   .2890   20.000
      1.306   -122.892   .2260   20.000     -111.389   .2338   20.000       38.831   .4300   20.000     -116.211   .2305   20.000      -58.446   .2887   20.000
      1.529   -122.892   .2260   20.000     -111.388   .2338   20.000       38.904   .4300   20.000     -116.211   .2305   20.000      -58.759   .2882   20.000
      1.752   -122.892   .2260   20.000     -111.388   .2338   20.000       38.972   .4300   20.000     -116.210   .2305   20.000      -59.071   .2877   20.000
      2.047   -122.892   .2260   20.000     -111.386   .2338   20.000       39.055   .4300   20.000     -116.209   .2305   20.000      -59.477   .2870   20.000
      2.341   -122.892   .2260   20.000     -111.383   .2338   20.000       39.130   .4300   20.000     -116.206   .2305   20.000      -59.868   .2864   20.000
      2.724   -122.892   .2260   20.000     -111.377   .2338   20.000       39.218   .4300   20.000     -116.198   .2305   20.000      -60.352   .2857   20.000
      3.107   -122.892   .2260   20.000     -111.366   .2338   20.000       39.297   .4300   20.000     -116.183   .2305   20.000      -60.802   .2850   20.000
      3.490   -122.890   .2260   20.000     -111.351   .2338   20.000       39.367   .4300   20.000     -116.159   .2305   20.000      -61.216   .2843   20.000
      3.991   -122.888   .2260   20.000     -111.319   .2338   20.000       39.447   .4300   20.000     -116.103   .2306   20.000      -61.725   .2836   20.000
      4.492   -122.883   .2260   20.000     -111.272   .2338   20.000       39.518   .4300   20.000     -116.014   .2306   20.000      -62.182   .2830   20.000
      5.104   -122.871   .2260   20.000     -111.186   .2339   20.000       39.592   .4300   20.000     -115.839   .2308   20.000      -62.657   .2823   20.000
      5.920   -122.840   .2261   20.000     -111.010   .2340   20.000       39.677   .4300   20.000     -115.440   .2310   20.000      -63.173   .2816   20.000
      6.736   -122.784   .2261   20.000     -110.763   .2342   20.000       39.750   .4300   20.000     -114.833   .2314   20.000      -63.593   .2811   20.000
      7.552   -122.694   .2262   20.000     -110.431   .2344   20.000       39.815   .4300   20.000     -113.987   .2320   20.000      -63.931   .2806   20.000
      8.368   -122.558   .2262   20.000     -109.998   .2347   20.000       39.874   .4300   20.000     -112.887   .2327   20.000      -64.200   .2803   20.000
      9.184   -122.364   .2264   20.000     -109.454   .2350   20.000       39.929   .4300   20.000     -111.540   .2336   20.000      -64.407   .2800   20.000
     10.000   -122.099   .2266   20.000     -108.792   .2355   20.000       39.982   .4300   20.000     -109.978   .2347   20.000      -64.557   .2798   20.000
     11.071   -121.602   .2269   20.000     -107.714   .2362   20.000       40.048   .4300   20.000     -107.675   .2362   20.000      -64.667   .2796   20.000
     12.464   -120.673   .2275   20.000     -106.067   .2375   20.000       40.130   .4300   20.000     -104.607   .2387   20.000      -64.684   .2796   20.000
     13.857   -119.385   .2284   20.000     -104.079   .2391   20.000       40.212   .4300   20.000     -101.308   .2413   20.000      -64.589   .2797   20.000
     15.250   -117.710   .2295   20.000     -101.751   .2410   20.000       40.293   .4300   20.000      -97.973   .2440   20.000      -64.393   .2800   20.000
     16.643   -115.641   .2309   20.000      -99.149   .2431   20.000       40.375   .4300   20.000      -94.703   .2467   20.000      -64.107   .2804   20.000
     18.036   -113.221   .2325   20.000      -96.327   .2454   20.000       40.458   .4300   20.000      -91.709   .2493   20.000      -63.740   .2809   20.000
     19.429   -110.533   .2343   20.000      -93.344   .2477   20.000       40.543   .4300   20.000      -88.969   .2520   20.000      -63.301   .2815   20.000
     21.286   -106.617   .2370   20.000      -89.550   .2514   20.000       40.660   .4300   20.000      -85.602   .2552   20.000      -62.594   .2824   20.000
     23.143   -102.660   .2402   20.000      -85.503   .2553   20.000       40.782   .4300   20.000      -82.482   .2583   20.000      -61.771   .2835   20.000
     25.000    -98.490   .2436   20.000      -81.443   .2593   20.000       40.909   .4300   20.000      -79.724   .2612   20.000      -60.857   .2849   20.000
     26.786    -94.495   .2468   20.000      -77.905   .2633   20.000       41.036   .4300   20.000      -77.339   .2639   20.000      -59.887   .2864   20.000
     28.571    -90.786   .2502   20.000      -74.424   .2673   20.000       41.153   .4300   20.000      -75.162   .2664   20.000      -58.844   .2880   20.000
     30.357    -87.238   .2537   20.000      -71.047   .2711   20.000       41.267   .4300   20.000      -73.137   .2687   20.000      -57.768   .2897   20.000
     32.143    -83.778   .2570   20.000      -67.978   .2751   20.000       41.381   .4300   20.000      -71.272   .2709   20.000      -56.668   .2914   20.000
     34.694    -79.265   .2617   20.000      -63.908   .2807   20.000       41.544   .4300   20.000      -68.929   .2739   20.000      -55.068   .2939   20.000
     37.245    -75.169   .2664   20.000      -60.125   .2860   20.000       41.703   .4300   20.000      -66.851   .2767   20.000      -53.440   .2965   20.000
     39.796    -71.397   .2707   20.000      -56.666   .2915   20.000       41.862   .4300   20.000      -64.969   .2792   20.000      -51.816   .2994   20.000
     42.347    -68.065   .2750   20.000      -53.282   .2968   20.000       42.022   .4300   20.000      -63.270   .2815   20.000      -50.153   .3024   20.000
     44.898    -65.050   .2791   20.000      -50.199   .3023   20.000       42.182   .4300   20.000      -61.750   .2836   20.000      -48.506   .3054   20.000
     47.449    -62.268   .2829   20.000      -47.325   .3075   20.000       42.343   .4300   20.000      -60.406   .2856   20.000      -46.892   .3083   20.000
     50.000    -59.787   .2865   20.000      -44.674   .3127   20.000       42.503   .4300   20.000      -59.187   .2875   20.000      -45.308   .3114   20.000
     53.125    -57.081   .2908   20.000      -41.699   .3188   20.000       42.701   .4300   20.000      -57.840   .2896   20.000      -43.371   .3154   20.000
     56.250    -54.620   .2946   20.000      -38.946   .3248   20.000       42.898   .4300   20.000      -56.613   .2915   20.000      -41.478   .3192   20.000
     60.227    -51.870   .2993   20.000      -35.588   .3324   20.000       43.140   .4300   20.000      -55.211   .2937   20.000      -39.238   .3241   20.000
     64.205    -49.420   .3037   20.000      -32.541   .3400   20.000       43.370   .4300   20.000      -53.963   .2957   20.000      -37.096   .3290   20.000
