

  TLevel   Time         dt      Iter  ItCum
   152  .31173E+02  .23855E+00    2    789
   153  .31478E+02  .30436E+00    2    791
   154  .31884E+02  .40582E+00    3    794
   155  .32053E+02  .16909E+00    2    816
   156  .32274E+02  .22076E+00    2    818
   157  .32560E+02  .28617E+00    2    820
   158  .32932E+02  .37202E+00    2    822
   159  .33403E+02  .47122E+00    3    825
   160  .33603E+02  .19991E+00    2    847
   161  .33859E+02  .25589E+00    2    849
   162  .34200E+02  .34118E+00    2    851
   163  .34646E+02  .44616E+00    3    854
   164  .34844E+02  .19829E+00    2    876
   165  .35102E+02  .25778E+00    2    878
   166  .35429E+02  .32652E+00    2    880
   167  .35886E+02  .45713E+00    3    883
   168  .36082E+02  .19591E+00    2    905
   169  .36343E+02  .26122E+00    2    907
   170  .36675E+02  .33246E+00    2    909
   171  .37091E+02  .41558E+00    2    911
   172  .37285E+02  .19394E+00    2    933
   173  .37532E+02  .24683E+00    2    935
   174  .37840E+02  .30853E+00    2    937
   175  .38272E+02  .43195E+00    2    939
   176  .38464E+02  .19198E+00    2    961
   177  .38720E+02  .25597E+00    2    963
   178  .39040E+02  .31996E+00    2    965
   179  .39520E+02  .47994E+00    2    967
   180  .39680E+02  .15998E+00    2    989
   181  .39840E+02  .15998E+00    2    991
   182  .40000E+02  .15998E+00    2    993
   183  .40270E+02  .27027E+00    2    995
   184  .40623E+02  .35232E+00    2    997
   185  .41084E+02  .46137E+00    2    999
   186  .41675E+02  .59113E+00    3   1002
   187  .41930E+02  .25451E+00    2   1024
   188  .42258E+02  .32855E+00    2   1026
   189  .42402E+02  .14424E+00    2   1048
   190  .42590E+02  .18721E+00    2   1050
   191  .42835E+02  .24522E+00    2   1052
   192  .43153E+02  .31787E+00    2   1054
   193  .43564E+02  .41091E+00    2   1056
   194  .44094E+02  .53021E+00    2   1058
   195  .44324E+02  .23052E+00    2   1080
   196  .44626E+02  .30146E+00    2   1082
   197  .45020E+02  .39421E+00    2   1084
   198  .45186E+02  .16644E+00    2   1106
   199  .45404E+02  .21785E+00    2   1108
   200  .45685E+02  .28069E+00    2   1110
   201  .46052E+02  .36705E+00    2   1112
   202  .46533E+02  .48096E+00    2   1114
   203  .46737E+02  .20405E+00    2   1136
   204  .47002E+02  .26526E+00    2   1138
   205  .47344E+02  .34204E+00    2   1140
   206  .47796E+02  .45199E+00    2   1142
   207  .47990E+02  .19371E+00    2   1164
   208  .48240E+02  .25021E+00    2   1166
   209  .48567E+02  .32666E+00    2   1168
   210  .48990E+02  .42345E+00    2   1170
   211  .49174E+02  .18349E+00    2   1192
   212  .49414E+02  .24058E+00    2   1194
   213  .49726E+02  .31134E+00    2   1196
   214  .50137E+02  .41097E+00    2   1198
   215  .50656E+02  .51912E+00    2   1200
   216  .50878E+02  .22248E+00    2   1222
   217  .51163E+02  .28505E+00    2   1224
   218  .51532E+02  .36819E+00    2   1226
   219  .51698E+02  .16605E+00    2   1248
   220  .51916E+02  .21848E+00    2   1250
   221  .52195E+02  .27875E+00    2   1252
   222  .52567E+02  .37167E+00    2   1254
   223  .53031E+02  .46459E+00    2   1256
   224  .53242E+02  .21118E+00    2   1278
   225  .53513E+02  .27031E+00    2   1280
   226  .53873E+02  .36041E+00    2   1282
   227  .54344E+02  .47131E+00    2   1284
   228  .54554E+02  .20947E+00    2   1306
   229  .54826E+02  .27231E+00    2   1308
   230  .55171E+02  .34493E+00    2   1310
   231  .55332E+02  .16097E+00    2   1332
   232  .55544E+02  .21218E+00    2   1334
   233  .55823E+02  .27849E+00    2   1336
   234  .56171E+02  .34811E+00    2   1338
   235  .56649E+02  .47865E+00    2   1340
   236  .57208E+02  .55843E+00    2   1342
   237  .57441E+02  .23268E+00    2   1364
   238  .57760E+02  .31993E+00    2   1366
   239  .57885E+02  .12442E+00    2   1388
   240  .58048E+02  .16270E+00    2   1390
   241  .58265E+02  .21693E+00    2   1392
   242  .58554E+02  .28925E+00    2   1394
   243  .58915E+02  .36156E+00    2   1396
   244  .59458E+02  .54234E+00    2   1398
   245  .60000E+02  .54234E+00    2   1400
   246  .60202E+02  .20202E+00    2   1422
   247  .60466E+02  .26397E+00    2   1424
   248  .60809E+02  .34270E+00    2   1426
   249  .61255E+02  .44631E+00    2   1428
   250  .61450E+02  .19526E+00    2   1450
   251  .61704E+02  .25411E+00    2   1452
   252  .62037E+02  .33265E+00    2   1454
   253  .62465E+02  .42769E+00    2   1456
   254  .62653E+02  .18855E+00    2   1478
   255  .62898E+02  .24432E+00    2   1480
   256  .63214E+02  .31671E+00    2   1482
   257  .63624E+02  .40941E+00    2   1484
   258  .63806E+02  .18196E+00    2   1506
   259  .64044E+02  .23815E+00    2   1508
   260  .64351E+02  .30685E+00    2   1510
   261  .64752E+02  .40127E+00    2   1512
   262  .65278E+02  .52580E+00    2   1514
   263  .65501E+02  .22306E+00    2   1536
   264  .65791E+02  .28998E+00    2   1538
   265  .66165E+02  .37393E+00    2   1540
   266  .66329E+02  .16471E+00    2   1562
   267  .66543E+02  .21360E+00    2   1564
   268  .66823E+02  .28035E+00    2   1566
   269  .67189E+02  .36602E+00    2   1568
   270  .67664E+02  .47447E+00    2   1570
   271  .67869E+02  .20560E+00    2   1592
